Event,Date,Location,Athletes,Results
Tri Battle Royale,07/18/2021,"Allgäu, Germany",2,/en/results/537-tri-battle-royale/all/
Ironman 70.3 Staffordshire,07/18/2021,"Staffordshire, England, UK",957,/en/results/536-ironman-703-staffordshire/all/
Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA",1137,/en/results/534-ironman-703-musselman/all/
Ironman 70.3 Ecuador,07/11/2021,"Manta, Manabi, Ecuador",841,/en/results/535-ironman-703-ecuador/all/
Ironman UK,07/04/2021,"Bolton, England",1276,/en/results/530-ironman-uk/all/
Ironman 70.3 Andorra,07/04/2021,Andorra,559,/en/results/531-ironman-703-andorra/all/
Ironman 70.3 Les Sables d'Olonne-Vendée,07/04/2021,"Vendėe, France",1797,/en/results/532-ironman-703-les-sables-dolonne-vendee/all/
Ironman Lanzarote,07/03/2021,"Lanzarote, Canary Islands, Spain",793,/en/results/529-ironman-lanzarote/all/
Ironman 70.3 Finland,07/03/2021,"Lahti, Finland",916,/en/results/533-ironman-703-finland/all/
Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark",1184,/en/results/525-ironman-703-elsinore/all/
Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA",1668,/en/results/526-ironman-703-steelhead/all/
Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA",1182,/en/results/527-ironman-703-lubbock/all/
Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA",2108,/en/results/528-ironman-coeur-dalene/all/
Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA",2512,/en/results/524-ironman-703-des-moines/all/
Ironman 70.3 Eagleman,06/13/2021,"Cambridge Maryland, USA",1617,/en/results/522-ironman-703-eagleman/all/
Ironman 70.3 Chattanooga,06/13/2021,"Chattanooga, Tennessee, USA",2130,/en/results/523-ironman-703-chattanooga/all/
Ironman 70.3 Virginia,06/06/2021,"Roanoke, Virginia, USA",1566,/en/results/518-ironman-703-virginia/all/
Ironman 70.3 Durban,06/06/2021,"Durban, South Africa",806,/en/results/519-ironman-703-durban/all/
Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia",1161,/en/results/520-ironman-703-cairns/all/
Ironman Cairns,06/06/2021,"Cairns, Queensland, Australia",1183,/en/results/521-ironman-cairns/all/
Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA",1202,/en/results/517-ironman-703-hawaii/all/
Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA",1906,/en/results/515-ironman-tulsa/all/
Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico",1033,/en/results/516-ironman-703-acapulco/all/
Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA",1397,/en/results/514-ironman-703-gulf-coast/all/
Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia",993,/en/results/512-ironman-703-busselton/all/
Ironman 70.3 St. George,05/01/2021,"St. George, Utah, USA",2803,/en/results/511-ironman-703-st-george/all/
Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan",400,/en/results/513-ironman-703-kenting/all/
Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA",1385,/en/results/510-ironman-703-florida/all/
Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA",1888,/en/results/509-ironman-703-texas/all/
Ironman 70.3 Geelong,03/28/2021,"Geelong, Victoria, Australia",929,/en/results/508-ironman-703-geelong/all/
Ironman 70.3 New Zealand,03/27/2021,"Taupo, New Zealand",590,/en/results/506-ironman-703-new-zealand/all/
Ironman New Zealand,03/27/2021,"Taupo, New Zealand",537,/en/results/507-ironman-new-zealand/all/
Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates",1145,/en/results/504-ironman-703-dubai/all/
Challenge Miami,03/12/2021,"Miami, Florida, USA",71,/en/results/505-challenge-miami/all/
Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA",99,/en/results/502-challenge-daytona/all/
