Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time
1,Lionel Sanders,48,MPRO,CAN,00:25:01,02:02:55,01:11:04,03:42:55
2,Sam Long,66,MPRO,USA,00:25:23,02:02:39,01:11:04,03:43:01
3,Magnus Ditlev,60,MPRO,DNK,00:23:24,02:01:25,01:16:05,03:45:10
4,Rodolphe Von Berg,46,MPRO,USA,00:23:14,02:02:40,01:15:54,03:45:28
5,Jackson Laundry,51,MPRO,CAN,00:23:50,02:04:46,01:13:20,03:45:43
6,Andreas Dreitz,55,MPRO,DEU,00:24:47,02:02:58,01:15:06,03:47:12
7,Florian Angert,58,MPRO,DEU,00:23:14,02:04:46,01:15:04,03:47:23
8,Paul Ruttman,85,MPRO,AUT,00:26:57,02:01:46,01:16:09,03:49:46
9,Joe Gambles,69,MPRO,USA,00:23:25,02:06:41,01:15:14,03:49:47
10,Bradley Weiss,59,MPRO,ZAF,00:24:44,02:06:54,01:14:10,03:49:57
11,Matthew Hanson,56,MPRO,USA,00:23:41,02:11:59,01:11:06,03:50:39
12,Michael Raelert,52,MPRO,DEU,00:23:11,02:04:48,01:18:32,03:51:10
13,Maurice Clavel,64,MPRO,DEU,00:23:18,02:08:10,01:16:04,03:51:29
14,Justin Metzler,67,MPRO,USA,00:23:29,02:08:37,01:15:53,03:52:08
15,Nicholas Chase,91,MPRO,USA,00:24:42,02:03:49,01:20:10,03:52:46
16,Yvan Jarrige,98,MPRO,FRA,00:23:46,02:06:09,01:19:01,03:52:56
17,George Goodwin,80,MPRO,GBR,00:24:40,02:03:28,01:24:40,03:56:29
18,Denis Chevrot,116,MPRO,FRA,00:23:19,02:12:30,01:16:25,03:56:54
19,Neveu Baptiste,93,MPRO,FRA,00:23:27,02:07:52,01:21:14,03:57:06
20,Jason West,106,MPRO,USA,00:23:20,02:13:24,01:16:52,03:57:22
21,Ben Hoffman,49,MPRO,USA,00:24:46,02:11:16,01:16:44,03:57:32
22,David McNamee,54,MPRO,GBR,00:23:16,02:09:28,01:21:24,03:58:12
23,Sam Appleton,57,MPRO,AUS,00:23:09,02:08:21,01:22:30,03:58:12
24,Andre Lopes,100,MPRO,USA,00:24:02,02:12:17,01:18:52,03:59:18
25,Tripp Hipple,77,MPRO,USA,00:26:30,02:06:58,01:21:52,03:59:51
26,Ben Kanute,53,MPRO,USA,00:23:10,02:10:11,01:23:58,04:01:11
27,Jesse Vondracek,92,MPRO,USA,00:24:38,02:13:13,01:19:11,04:01:27
28,Georg Enzenberger,103,MPRO,AUT,00:24:42,02:12:37,01:19:50,04:01:33
29,Patrick Brady,73,MPRO,USA,00:27:10,02:12:28,01:19:39,04:03:49
30,Kristoffer Visti Graae,107,MPRO,DNK,00:24:46,02:08:36,01:27:00,04:04:40
1,Andrew Hall,368,M35-39,USA,00:28:41,02:15:43,01:15:41,04:04:58
31,Michael Arishita,113,MPRO,USA,00:23:26,02:18:05,01:19:35,04:05:02
1,Daniela Ryf,2,FPRO,CHE,00:24:44,02:14:11,01:22:15,04:05:46
32,Taylor Reid,65,MPRO,CAN,00:24:41,02:18:41,01:18:03,04:05:51
33,Matt Russell,61,MPRO,USA,00:25:26,02:12:52,01:22:51,04:05:56
34,Ted Treise,3997,MPRO,USA,00:27:14,02:11:40,01:24:23,04:07:33
35,David Guete,3994,MPRO,COL,00:25:00,02:21:56,01:16:27,04:07:36
36,Kevin Portmann,75,MPRO,FRA,00:29:42,02:14:34,01:19:34,04:08:08
37,Pedro Gomes,83,MPRO,PRT,00:24:43,02:18:44,01:21:21,04:09:09
38,Frederik Henes,120,MPRO,DEU,00:23:29,02:21:56,01:20:14,04:09:45
2,Jeanni Metzler,12,FPRO,ZAF,00:24:44,02:21:33,01:19:32,04:10:15
3,Emma Pallant,8,FPRO,GBR,00:26:08,02:19:16,01:21:24,04:11:02
1,Pelayo Menendez,271,M30-34,ESP,00:28:10,02:18:50,01:18:52,04:11:19
2,Tom De Bruyn,284,M35-39,BEL,00:28:14,02:14:11,01:23:35,04:11:25
39,Cody Forman,3999,MPRO,USA,00:27:11,02:18:41,01:20:44,04:11:26
40,Paul Stevenson,78,MPRO,USA,00:24:48,02:20:05,01:22:33,04:11:46
41,Arnaud Margot,115,MPRO,CHE,00:30:19,02:14:07,01:24:04,04:12:59
42,Robby Webster,90,MPRO,USA,00:25:29,02:18:29,01:25:08,04:13:32
4,Paula Findlay,3,FPRO,CAN,00:24:50,02:21:40,01:23:13,04:14:06
1,Conrad Lee Sanders,423,M25-29,USA,00:27:56,02:18:00,01:22:51,04:14:13
5,Skye Moench,5,FPRO,USA,00:26:15,02:19:47,01:23:44,04:14:23
43,Marty Andrie,3998,MPRO,USA,00:24:04,02:17:27,01:28:30,04:14:31
2,Klodian Mitri,741,M30-34,USA,00:31:10,02:19:21,01:19:18,04:14:34
6,Holly Lawrence,1,FPRO,GBR,00:25:27,02:22:27,01:22:37,04:14:47
44,Erik Peterson,88,MPRO,USA,00:27:52,02:20:56,01:21:42,04:15:52
-,Team Dlsquared,4009,RELAY,USA,00:27:53,02:27:24,01:16:20,04:16:08
45,Alexander Khalamanov,102,MPRO,RUS,00:24:49,02:26:44,01:19:39,04:16:33
2,Benjamin Besse,393,M25-29,USA,00:27:15,02:19:10,01:24:21,04:16:43
7,Sophie Watts,24,FPRO,USA,00:26:02,02:27:11,01:19:00,04:16:44
8,Jackie Hering,14,FPRO,USA,00:26:09,02:24:49,01:22:56,04:18:15
46,Antoine Francoeur,97,MPRO,CAN,00:25:05,02:17:37,01:31:32,04:18:49
47,Travis Wood,74,MPRO,USA,00:29:53,02:16:46,01:29:31,04:20:38
3,Jesse Frank,671,M25-29,USA,00:28:51,02:23:12,01:24:04,04:20:39
1,Bear Schickel,2529,M18-24,USA,00:24:56,02:26:15,01:25:08,04:21:12
3,Andrew Williams,1761,M35-39,USA,00:26:47,02:20:55,01:28:18,04:22:01
48,Vant Lammers,101,MPRO,USA,00:27:08,02:20:56,01:29:25,04:22:15
4,Joshua Monda,1438,M35-39,USA,00:30:01,02:22:56,01:23:17,04:22:36
4,Riley Carpenter,330,M25-29,USA,00:29:36,02:26:59,01:21:05,04:22:46
9,Carrie Lester,9,FPRO,USA,00:26:11,02:24:47,01:27:01,04:22:47
1,Luigi Grullon,1143,M45-49,USA,00:33:33,02:20:59,01:20:43,04:22:52
3,Davis Frease,321,M30-34,USA,00:25:20,02:19:45,01:32:30,04:23:02
49,Pablo Gomez,96,MPRO,COL,00:27:13,02:20:02,01:30:50,04:23:22
5,Michael Chronert,514,M25-29,USA,00:31:09,02:15:13,01:29:01,04:23:27
50,Andy Krueger,105,MPRO,USA,00:24:45,02:20:08,01:34:17,04:23:38
51,Ben Deal,108,MPRO,USA,00:25:02,02:24:21,01:29:01,04:23:59
5,Gregory Lindquist,327,M35-39,USA,00:32:07,02:21:55,01:25:45,04:24:48
10,Sarah Crowley,6,FPRO,AUS,00:26:07,02:28:57,01:25:48,04:25:22
6,Kiel Bur,724,M35-39,USA,00:27:21,02:28:24,01:23:00,04:25:50
2,Steve Johnson,203,M45-49,USA,00:29:00,02:27:08,01:24:46,04:26:07
6,Luke Davis,404,M25-29,USA,00:30:08,02:24:57,01:25:37,04:26:28
4,Justin Clark,298,M30-34,USA,00:29:51,02:15:00,01:35:57,04:26:39
7,Adam Goulet,618,M35-39,USA,00:28:42,02:20:53,01:28:21,04:27:38
1,Stefano Profumo,2365,M40-44,USA,00:31:43,02:21:16,01:27:53,04:27:42
11,Danielle Lewis,15,FPRO,USA,00:30:00,02:25:27,01:27:53,04:27:45
5,Parker Watt,265,M30-34,USA,00:25:54,02:26:40,01:29:49,04:28:00
8,Nathan Patton,1385,M35-39,USA,00:32:38,02:21:14,01:27:49,04:28:34
52,Ian King,99,MPRO,USA,00:24:48,02:26:33,01:33:16,04:28:53
3,Sebe Ziesler,2860,M45-49,USA,00:28:07,02:24:17,01:29:37,04:29:29
7,Mike Mueller,745,M25-29,USA,00:30:55,02:24:44,01:25:57,04:30:02
8,Jamie Hayes,662,M25-29,USA,00:25:11,02:25:49,01:33:25,04:30:18
2,Mitch Child,1918,M18-24,USA,00:27:24,02:20:23,01:36:06,04:30:26
6,Anthony Agnello,3077,M30-34,USA,00:30:06,02:23:08,01:31:00,04:31:10
7,Jacob Barnes,275,M30-34,USA,00:29:26,02:21:29,01:35:18,04:31:26
9,Mike Dumas,551,M35-39,USA,00:32:07,02:29:36,01:23:32,04:31:45
10,Benjamin Williams,598,M35-39,USA,00:28:53,02:33:02,01:24:15,04:31:46
11,David Hodge,342,M35-39,USA,00:32:47,02:17:41,01:33:51,04:31:51
12,Meredith Kessler,4,FPRO,USA,00:26:05,02:28:50,01:31:55,04:31:55
9,Benjamin Ford,781,M25-29,USA,00:26:03,02:23:04,01:37:15,04:32:15
10,Shawn O'Malley,829,M25-29,USA,00:30:41,02:23:03,01:31:21,04:32:25
12,Carlos Vazquez,1645,M35-39,MEX,00:29:14,02:23:29,01:33:24,04:32:28
8,Alexander Betances,525,M30-34,USA,00:32:29,02:21:44,01:31:48,04:32:32
9,Patrick Ciquera,1829,M30-34,USA,00:39:06,02:20:24,01:23:11,04:32:38
53,Jim Lubinski,104,MPRO,USA,00:30:23,02:24:14,01:35:09,04:34:11
13,Elliot Kawaoka,421,M35-39,USA,00:28:33,02:30:17,01:28:56,04:34:29
1,John Hatala,274,M50-54,USA,00:31:20,02:25:58,01:31:11,04:34:37
13,Haley Chura,16,FPRO,USA,00:23:50,02:36:47,01:29:00,04:34:51
2,Joel Homan,349,M40-44,USA,00:35:12,02:21:51,01:32:03,04:34:56
10,Jon Hammond,972,M30-34,USA,00:29:21,02:28:33,01:29:53,04:35:00
2,Kevin Konczak,1657,M50-54,USA,00:30:17,02:29:35,01:28:23,04:35:05
11,Kyle Moncur,2451,M25-29,USA,00:32:15,02:26:27,01:30:36,04:35:16
3,Mathew Hunnicutt,302,M40-44,USA,00:28:30,02:25:27,01:34:38,04:35:25
3,Richard Albrow,478,M50-54,USA,00:29:20,02:28:43,01:30:47,04:35:28
3,Andoni Valencia,2086,M18-24,MEX,00:28:41,02:31:39,01:29:31,04:35:39
4,Brian Devlin,446,M40-44,USA,00:30:08,02:28:05,01:31:24,04:35:49
14,Antonio Gonzalez,2041,M35-39,USA,00:32:30,02:26:37,01:30:45,04:35:50
12,Jack Burgeson,1127,M25-29,USA,00:27:49,02:28:35,01:33:59,04:35:53
4,Peter Christensen,711,M45-49,USA,00:27:58,02:26:33,01:35:23,04:35:56
11,Sean Mahoney,650,M30-34,USA,00:23:51,02:23:44,01:42:31,04:36:44
12,Andrew Macdonell,2637,M30-34,USA,00:26:24,02:29:27,01:35:43,04:37:36
