Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
1,Tim O'Donnell,1,MPRO,USA,00:21:02,00:01:43,00:01:18,20:17:54,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Jackson Laundry,4,MPRO,CAN,00:21:52,00:01:46,00:01:08,20:15:11,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Ivan Tutukin,6,MPRO,RUS,00:21:56,00:01:48,00:01:17,20:13:59,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Kevin Collington,3,MPRO,USA,00:21:38,00:01:46,00:01:20,20:13:14,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
5,Matt Hanson,2,MPRO,USA,00:22:01,00:01:49,00:01:22,20:11:46,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
6,Alex Libin,27,MPRO,USA,00:21:53,00:01:50,00:01:23,20:11:00,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
7,Adam Otstot,8,MPRO,USA,00:22:55,00:01:48,00:01:15,20:08:53,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
8,Sean Harrington,21,MPRO,USA,00:23:01,00:01:52,00:01:10,20:08:24,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
9,Andre Lopes,28,MPRO,BRA,00:22:50,00:01:57,00:01:27,20:05:51,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
10,Tyler Jordan,22,MPRO,USA,00:23:09,00:01:55,00:01:22,20:02:05,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
11,Patrick Brady,15,MPRO,USA,00:25:32,00:02:02,00:01:37,20:00:36,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
12,Justin Metzler,9,MPRO,USA,00:21:45,00:01:42,00:01:18,19:59:06,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
13,Elliot Bach,10,MPRO,USA,00:22:56,00:01:50,00:01:08,19:58:15,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
14,Benson Hall,20,MPRO,USA,00:23:12,00:02:00,00:01:18,19:57:19,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
15,Jose Pablo Salazar Ezquerra,36,MPRO,CHL,00:22:24,00:01:46,00:01:27,19:57:08,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
16,Nicholas Chase,16,MPRO,USA,00:22:59,00:01:49,00:01:18,19:55:27,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Mirinda Carfrae,45,FPRO,AUS,00:24:29,00:01:53,00:01:41,19:54:24,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
17,Derek Kidwell,24,MPRO,USA,00:22:05,00:01:50,00:01:07,19:53:06,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Jeanni Seymour,47,FPRO,ZAF,00:23:33,00:01:47,00:01:19,19:53:02,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Ted Treise,222,M25-29,USA,00:26:02,00:02:08,00:01:42,19:51:31,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Nathan Buttrick,136,M35-39,USA,00:25:24,00:02:37,00:01:29,19:48:51,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
18,Hunter Lussi,29,MPRO,USA,00:20:41,00:01:48,00:01:28,19:47:37,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Andrew Kalley,2316,M35-39,USA,00:26:34,00:02:04,00:01:24,19:47:32,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Aaron Kolk,356,M30-34,USA,00:30:28,00:03:11,00:01:54,19:47:31,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
19,Jimmy Sosinski,37,MPRO,USA,00:27:30,00:02:11,00:01:25,19:47:18,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Lauren Barnett,53,FPRO,USA,00:24:33,00:02:02,00:01:35,19:46:44,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Karel Sumbal,242,M40-44,CZE,00:24:37,00:02:10,00:01:56,19:46:44,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Ross Lenehan,227,M30-34,USA,00:25:23,00:02:15,00:01:39,19:45:00,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
20,Yunior Rosete Torres,34,MPRO,USA,00:21:38,00:01:47,00:01:57,19:43:20,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Haley Chura,50,FPRO,USA,00:21:54,00:01:52,00:02:05,19:43:09,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
2,Luis Pou,398,M40-44,PRI,00:26:05,00:02:20,00:01:45,19:41:52,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
5,Jodie Robertson,49,FPRO,USA,00:25:38,00:02:37,00:02:01,19:38:37,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Luciano Ros,360,M30-34,ARG,00:26:46,00:02:26,00:01:57,19:38:20,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Samuel Burkett,787,M40-44,USA,00:25:05,00:02:28,00:01:41,19:38:19,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
21,Brandon Krout,25,MPRO,USA,00:25:08,00:02:25,00:01:39,19:37:36,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Matt Schafer,341,M18-24,USA,00:22:36,00:02:18,00:01:50,19:37:30,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
22,Yorlliry Moreno,32,MPRO,VEN,00:21:57,00:02:00,00:01:43,19:37:15,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Gerard Hubbard,226,M30-34,USA,00:24:28,00:02:48,00:01:31,19:37:15,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
3,Jason Ramdeen,234,M35-39,JAM,00:27:07,00:02:17,00:01:18,19:36:55,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Sean MacLaurin,233,M35-39,USA,00:26:35,00:02:06,00:02:36,19:36:46,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
6,Cecilia Davis-Hayes,56,FPRO,USA,00:25:44,00:02:03,00:01:38,19:36:45,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
7,Alycia Hill,59,FPRO,USA,00:24:35,00:02:12,00:02:19,19:36:37,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
8,Pamela-Ann Bachelder St-Pierre,52,FPRO,CAN,00:25:53,00:02:03,00:01:14,19:35:41,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
5,Gordon Powell,378,M35-39,USA,00:27:16,00:02:25,00:02:17,19:35:26,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
1,Jade Costen,413,M45-49,USA,00:26:02,00:03:11,00:01:33,19:35:11,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Adam Zucco,245,M40-44,USA,00:23:21,00:02:29,00:02:38,19:33:36,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
