Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
1,Joe Gambles,5,MPRO,AUS,02:00:56,01:14:19,03:17:08,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
2,Cody Beals,1,MPRO,CAN,01:58:56,01:17:39,03:18:28,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
3,Adam Feigh,22,MPRO,USA,02:03:52,01:15:36,03:21:26,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
4,Andrew Yoder,6,MPRO,USA,02:00:17,01:19:26,03:21:32,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
5,Benjamin Hoffman,3,MPRO,USA,02:02:51,01:17:49,03:22:38,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
6,Scott Bradley,29,MPRO,USA,01:59:24,01:24:37,03:25:54,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
7,Curtis Feltner,21,MPRO,USA,02:04:53,01:19:21,03:26:28,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
8,Ricky Flynn,20,MPRO,USA,02:11:05,01:14:11,03:27:26,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
9,Matt Alford,32,MPRO,USA,02:08:12,01:18:09,03:28:19,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
10,Benjamin Deal,25,MPRO,USA,02:07:30,01:19:16,03:28:29,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
1,Scott Mingay,368,M30-34,USA,02:08:40,01:17:49,03:28:42,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
1,Matias Palavecino,843,M35-39,USA,02:08:56,01:18:18,03:29:18,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
11,Antoine Jolicoeur Desroches,4,MPRO,CAN,02:07:18,01:20:25,03:29:32,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
12,Alex Vanderlinden,33,MPRO,CAN,02:05:45,01:23:10,03:30:51,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
13,Johnathan Lejeune,13,MPRO,USA,02:11:13,01:16:55,03:30:59,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
14,Justin Park,10,MPRO,USA,02:06:16,01:23:18,03:31:49,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
15,Hunter Lussi,11,MPRO,USA,02:02:44,01:27:44,03:32:54,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
1,Eliot Scymanski,450,M25-29,USA,02:07:47,01:23:08,03:33:10,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
16,Elliot Bach,31,MPRO,USA,02:05:46,01:26:07,03:33:39,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
2,Matt Cymanski,363,M25-29,USA,02:10:40,01:21:36,03:34:29,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
17,Antoine Francoeur,19,MPRO,CAN,02:06:58,01:25:49,03:34:35,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
1,Joe Klinedinst,374,M40-44,USA,02:07:45,01:25:34,03:35:27,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
18,Andre Lopes,12,MPRO,BRA,02:09:16,01:23:57,03:35:29,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
2,Tom Garvey,467,M35-39,USA,02:12:56,01:20:53,03:35:44,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
19,Todd Burns,27,MPRO,USA,02:09:10,01:24:27,03:35:49,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
2,Aaron Birch,261,M30-34,USA,02:16:19,01:19:29,03:37:54,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
2,Vincenzo Marchione,375,M40-44,USA,02:13:06,01:23:47,03:39:06,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
3,Antoine Matteau,367,M30-34,CAN,02:14:21,01:22:33,03:39:14,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
3,Isaac Blackman,1695,M25-29,USA,02:19:03,01:18:37,03:39:52,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
20,Jonathan Fecik,23,MPRO,USA,02:03:49,01:34:14,03:40:13,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
4,Mitchell Dyer,366,M30-34,USA,02:13:54,01:23:37,03:40:19,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
