Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
1,Sam Appleton,6,M PRO,AUS,01:58:04,01:11:41,03:10:35,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
2,Tim Reed,2,M PRO,AUS,02:01:28,01:11:44,03:14:12,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
3,Joe Gambles,4,M PRO,AUS,02:02:54,01:13:11,03:16:59,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
4,Andrew Starykowicz,3,M PRO,USA,01:59:10,01:17:51,03:17:55,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
5,Matt Hanson,5,M PRO,USA,02:02:32,01:16:03,03:19:31,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
1,Ryan Giuliano,1473,M 30-34,USA,02:05:02,01:13:51,03:19:46,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
6,Andreas Raelert,9,M PRO,DEU,02:04:24,01:16:04,03:21:30,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
7,Matt Chrabot,1,M PRO,USA,02:05:47,01:14:55,03:21:45,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
8,Tj Tollakson,7,M PRO,USA,02:02:22,01:19:58,03:23:33,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
9,Steven Mckenna,25,M PRO,AUS,02:04:35,01:18:03,03:23:37,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
10,Patrick Brady,17,M PRO,USA,02:06:11,01:16:57,03:24:09,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
1,James Burke,141,M 35-39,USA,02:03:29,01:21:30,03:26:26,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
11,Ivan Dominguez,18,M PRO,USA,02:05:59,01:22:11,03:29:19,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
12,Andrew Keily,23,M PRO,USA,02:11:14,01:19:33,03:32:11,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
1,David Luy,135,M 25-29,USA,02:17:11,01:13:44,03:32:23,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
13,Blake Becker,16,M PRO,USA,02:06:45,01:24:56,03:32:40,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
2,Tyler Ems,1462,M 25-29,USA,02:07:58,01:23:32,03:32:44,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
14,Kevin Ryan,27,M PRO,USA,02:11:18,01:20:42,03:33:00,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
15,Derek Kidwell,24,M PRO,USA,02:04:53,01:27:45,03:33:37,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
16,Daniel Harris,21,M PRO,USA,02:13:56,01:20:33,03:35:48,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
2,Jeremy Rielley,198,M 30-34,USA,02:18:08,01:17:40,03:36:40,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
2,Dustin Leutenegger,111,M 35-39,USA,02:14:10,01:21:25,03:36:41,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
3,Yang Pan,136,M 25-29,USA,02:11:13,01:24:24,03:36:46,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
3,Zev Myerowitz,197,M 30-34,USA,02:07:12,01:30:14,03:38:26,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
4,Nicholas Rizzo,1481,M 30-34,USA,02:18:18,01:18:43,03:38:42,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
1,Holly Lawrence,36,F PRO,GBR,02:12:51,01:25:42,03:39:31,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
