Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
1,Sam Appleton,1,MPRO,AUS,00:00:00,02:03:48,01:12:15,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
2,Tim O'Donnell,4,MPRO,USA,00:00:00,02:03:56,01:13:37,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
3,Tim Reed,3,MPRO,AUS,00:00:00,02:04:18,01:14:45,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
4,Jackson Laundry,2,MPRO,CAN,00:00:00,02:09:54,01:10:46,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
5,Eric Lagerstrom,17,MPRO,USA,00:00:00,02:09:07,01:14:26,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
6,TJ Tollakson,27,MPRO,USA,00:00:00,02:08:04,01:18:14,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
7,Timothy Winslow,6,MPRO,USA,00:00:00,02:14:29,01:16:27,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
8,Sean Harrington,5,MPRO,USA,00:00:00,02:17:02,01:14:23,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
1,Jan Stepinski,162,M25-29,USA,00:00:00,02:14:30,01:20:34,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
9,Antonio Villardaga,28,MPRO,MEX,00:00:00,02:18:24,01:17:52,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
10,Ben Rudson,26,MPRO,CAN,00:00:00,02:16:36,01:20:13,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
1,Chelsea Sodaro,40,FPRO,USA,00:00:00,02:21:44,01:16:13,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
11,Jonathan Waltman,31,MPRO,USA,00:00:00,02:20:13,01:17:16,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
2,Pelayo Menendez,2551,M25-29,ESP,00:00:00,02:19:49,01:16:15,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
12,Ernest Mantell,20,MPRO,USA,00:00:00,02:15:59,01:22:07,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
13,Luke McKenzie,22,MPRO,AUS,00:00:00,02:22:46,01:18:27,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
3,Davis Frease,159,M25-29,USA,00:00:00,02:13:56,01:27:14,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
2,Mirinda Carfrae,35,FPRO,AUS,00:00:00,02:22:29,01:17:04,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
3,Paula Findlay,46,FPRO,CAN,00:00:00,02:20:33,01:22:04,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
14,Antoine Francoeur,13,MPRO,CAN,00:00:00,02:18:10,01:24:33,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
15,Ivan Dominguez,10,MPRO,USA,00:00:00,02:12:59,01:24:30,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
16,Daniel Pearson,24,MPRO,USA,00:00:00,02:20:25,01:22:30,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
4,Justin Riele,2552,M25-29,USA,00:00:00,02:22:51,01:21:25,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
1,Matthew Ison,163,M30-34,USA,00:00:00,02:20:24,01:21:01,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
1,Matt Schafer,380,M18-24,USA,00:00:00,02:25:45,01:20:53,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
5,Nolan McPeek-bechtold,160,M25-29,USA,00:00:00,02:21:13,01:18:21,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
