Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
1,Sam Appleton,1,MPRO,AUS,02:00:47,01:15:10,03:17:34,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
2,Jackson Laundry,7,MPRO,CAN,02:04:25,01:15:34,03:21:42,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
3,Tyler Butterfield,5,MPRO,BMU,02:08:18,01:12:43,03:22:34,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
4,Tim O'Donnell,3,MPRO,USA,02:07:30,01:15:59,03:25:24,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
5,Joe Gambles,2,MPRO,AUS,02:10:36,01:14:36,03:26:50,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
6,Taylor Reid,8,MPRO,CAN,02:09:43,01:16:30,03:27:54,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
7,Sean Harrington,28,MPRO,USA,02:13:39,01:14:29,03:29:48,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
8,Nicholas Granet,15,MPRO,FRA,02:11:10,01:16:41,03:29:50,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
9,Timothy Winslow,22,MPRO,USA,02:09:43,01:21:10,03:32:39,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
10,Thiago Vinhal,18,MPRO,BRA,02:18:29,01:14:08,03:34:22,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
11,Christopher Busset,17,MPRO,CAN,02:15:22,01:17:48,03:34:43,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
12,Jesse Moore,32,MPRO,USA,02:11:01,01:24:26,03:37:26,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
1,Devin Volk,371,M18-24,USA,02:18:35,01:17:24,03:37:55,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
1,Matthew Ison,263,M30-34,USA,02:17:46,01:18:22,03:38:17,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
2,Rod Farvard,585,M18-24,USA,02:13:18,01:21:43,03:38:24,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
13,Simon Bernier Lalonde,29,MPRO,CAN,02:12:57,01:24:04,03:38:43,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
14,Breno Melo,20,MPRO,USA,02:18:34,01:18:38,03:38:57,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
1,Zach Looney,381,M25-29,USA,02:18:05,01:18:35,03:39:18,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
15,Matthew Shanks,21,MPRO,USA,02:17:39,01:20:24,03:39:55,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
2,Matthew Hurley,2032,M30-34,USA,02:15:47,01:21:33,03:40:10,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
16,Fraser Walsh,12,MPRO,AUS,02:17:59,01:20:34,03:40:27,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
3,Austin Mitchell,394,M30-34,USA,02:19:30,01:19:58,03:41:20,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
4,Brett King,265,M30-34,USA,02:14:38,01:24:53,03:41:25,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
5,Tom De Bruyn,258,M30-34,BEL,02:16:09,01:23:22,03:41:46,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
2,Alberto Hermoso Diaz,254,M25-29,ESP,02:18:26,01:22:32,03:42:46,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
1,Mirinda Carfrae,65,FPRO,AUS,02:21:22,01:20:05,03:43:20,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
6,Brian Mancini,391,M30-34,USA,02:19:22,01:22:42,03:44:28,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
17,Jim Lubinski,30,MPRO,USA,02:21:44,01:20:58,03:44:45,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
1,Stephen O'Mara,419,M35-39,IRL,02:18:29,01:24:00,03:45:08,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
2,Heather Wurtele,42,FPRO,CAN,02:20:04,01:23:32,03:45:20,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
2,Eduardo Della Maggiora,271,M35-39,CHL,02:22:15,01:21:09,03:45:55,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
3,James Hotson,379,M25-29,USA,02:16:08,01:27:30,03:46:16,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
3,Pamella Oliveira,49,FPRO,BRA,02:23:10,01:21:21,03:46:30,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
7,Craig Taylor,400,M30-34,USA,02:18:19,01:26:28,03:46:42,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
4,Jonathan Waltman,1924,M25-29,USA,02:19:19,01:26:08,03:47:33,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
5,Michael McKeon,1869,M25-29,USA,02:21:41,01:23:46,03:47:37,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
4,Jocelyn McCauley,45,FPRO,USA,02:20:53,01:24:48,03:47:38,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
8,Yohann Coppel,257,M30-34,FRA,02:21:48,01:24:07,03:48:09,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
3,Donatas Ereminas,412,M35-39,LTU,02:21:10,01:25:04,03:48:30,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
1,Javier Hidalgo,439,M40-44,ESP,02:19:26,01:26:35,03:48:41,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
1,Jason Sandquist,292,M45-49,CAN,02:22:00,01:24:14,03:48:51,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
18,Loren Nelson,23,MPRO,CAN,02:12:59,01:33:31,03:48:52,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
4,Chris Cadotte,269,M35-39,USA,02:22:53,01:21:48,03:48:54,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
9,Josh Eaton,261,M30-34,USA,02:20:55,01:26:22,03:49:32,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
5,Justin Topping,275,M35-39,USA,02:23:00,01:24:38,03:50:00,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
6,Matthew Petrillo,3455,M25-29,USA,02:25:42,01:20:21,03:50:11,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
19,Mikael Staer Nathan,34,MPRO,CAN,02:14:09,01:34:48,03:50:33,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
7,Grant Grafentin,253,M25-29,USA,02:22:54,01:25:10,03:50:36,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
8,Jan Stepinski,1908,M25-29,USA,02:17:46,01:30:40,03:51:03,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
2,Daniel Evans Marke,455,M45-49,GBR,02:26:19,01:22:36,03:51:13,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
6,Jeremiah Radel,3480,M35-39,USA,02:19:14,01:29:50,03:51:20,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
