Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
1,Pelayo Menendez,1341,M30-34,ESP,02:10:08,01:17:21,03:29:07,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
1,Bryan Mooney,833,M25-29,USA,02:12:49,01:15:18,03:29:50,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
1,Daniel Stubleski,766,M45-49,USA,02:10:48,01:19:49,03:32:52,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
2,Steven Gomez,1180,M30-34,USA,02:09:55,01:21:11,03:33:24,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
3,Jordan Bailey,1193,M30-34,USA,02:09:22,01:22:36,03:33:41,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
4,Malachi Henry,1202,M30-34,USA,02:09:10,01:23:18,03:34:01,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
1,Ignacio Lopez Mancisidor,333,M35-39,USA,02:11:28,01:22:27,03:35:40,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
2,Aaron Mahoney,713,M25-29,USA,02:08:53,01:25:04,03:35:47,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
5,Michael Tomchaney,770,M30-34,USA,02:12:21,01:21:53,03:36:11,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
3,Matthew Martino,1203,M25-29,USA,02:15:39,01:19:00,03:36:30,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
2,James Harrington,868,M45-49,USA,02:10:42,01:23:50,03:36:30,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
6,Jonathan Alzate Ramirez,1619,M30-34,COL,02:12:36,01:22:31,03:37:01,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
7,Jordan English,1640,M30-34,USA,02:18:15,01:18:45,03:38:40,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
1,John Reed,1126,M18-24,USA,02:12:38,01:25:56,03:40:18,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
4,Daniel Moore,1518,M25-29,USA,02:26:54,01:13:14,03:42:15,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
5,Tyler Woodward,279,M25-29,USA,02:18:33,01:21:32,03:42:38,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
1,Ben Weaver,1106,M50-54,USA,02:09:14,01:31:23,03:43:10,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
8,Jeff Roberts,299,M30-34,USA,02:15:13,01:27:10,03:44:15,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
2,John Seddon,289,M35-39,USA,02:08:54,01:33:56,03:45:00,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
9,Coby Kavanaugh,132,M30-34,USA,02:16:12,01:27:10,03:45:25,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
10,Chris Bailey,612,M30-34,USA,02:17:39,01:25:56,03:45:29,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
6,Aaron Belcher,915,M25-29,USA,02:17:54,01:24:06,03:45:37,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
3,Imanol Ayestaran Odriozola,96,M45-49,ESP,02:12:40,01:31:10,03:45:57,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
3,Nathan Mize,441,M35-39,USA,02:18:40,01:26:03,03:46:51,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
1,Patrick Allaire,283,M40-44,USA,02:12:03,01:32:38,03:48:13,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
7,Cody Kalinowski,1046,M25-29,USA,02:13:35,01:31:52,03:48:15,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
11,Tyler le Roy,1547,M30-34,USA,02:13:01,01:33:33,03:48:26,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
12,Joseph Amoresano,796,M30-34,USA,02:20:32,01:26:15,03:48:49,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
2,Joe Calandro,1172,M40-44,USA,02:15:57,01:30:58,03:49:32,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
3,Nick Langer,1278,M40-44,USA,02:15:06,01:32:47,03:49:35,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
4,Jason Ming,493,M40-44,USA,02:16:22,01:30:31,03:49:46,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
4,Tom Clifford,692,M35-39,USA,02:17:22,01:30:39,03:49:59,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
2,Michael Ross,479,M50-54,USA,02:14:35,01:33:33,03:50:00,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
5,Matthew Greer,1167,M35-39,USA,02:13:41,01:34:45,03:50:20,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
6,Bob Larue,1379,M35-39,USA,02:20:32,01:28:09,03:50:48,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
5,Andrew Holland,1635,M40-44,USA,02:19:33,01:29:04,03:50:48,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
6,Todd Perkins,203,M40-44,USA,02:19:14,01:30:05,03:51:15,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
13,Johannes Olind,1576,M30-34,USA,02:23:01,01:26:38,03:51:17,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
2,Vincent Putrino,1127,M18-24,USA,02:26:53,01:22:50,03:51:27,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
7,Dave Leveque,813,M35-39,USA,02:19:33,01:30:31,03:51:36,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
8,Chris Cogswell,735,M25-29,USA,02:19:43,01:29:30,03:51:52,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
8,Curtis Anderson,1053,M35-39,USA,02:15:26,01:33:19,03:51:58,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
