Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
1,Andrew Starykowicz,1,MPRO,USA,01:58:10,01:21:39,03:21:40,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
2,TJ Tollakson,4,MPRO,USA,02:01:37,01:18:09,03:21:51,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
3,Joe Gambles,2,MPRO,AUS,02:05:05,01:15:27,03:22:28,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
4,Matt Hanson,8,MPRO,USA,02:05:51,01:15:35,03:23:21,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
5,Stephen Kilshaw,36,MPRO,CAN,02:05:37,01:17:02,03:24:34,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
6,Lukas Kramer,37,MPRO,DEU,02:05:56,01:17:39,03:25:30,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
7,Timothy Winslow,11,MPRO,USA,02:05:51,01:20:50,03:29:40,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
8,Tim Rea,41,MPRO,AUS,02:05:59,01:23:46,03:31:43,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
9,Rodrigo Acevedo Van Arcken,15,MPRO,COL,02:12:36,01:17:06,03:31:48,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
10,Steven Zawaski,12,MPRO,USA,02:09:44,01:24:05,03:35:42,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
11,Sean Daugherty,25,MPRO,USA,02:11:53,01:22:03,03:36:12,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
12,Guillaume Doree,27,MPRO,FRA,02:12:39,01:22:04,03:36:40,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
13,Sean Harrington,33,MPRO,USA,02:13:52,01:21:16,03:37:05,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
1,Ted Treise,164,M25-29,USA,02:13:39,01:21:41,03:37:33,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
