Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
1,Owain Matthews,2330,M 35-39,AUS,02:12:32,01:21:44,03:37:56,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
1,Matt Macpherson,2197,M 30-34,AUS,02:16:53,01:27:21,03:49:00,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
2,Pierre Gouws,2173,M 30-34,AUS,02:16:18,01:29:29,03:49:39,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
3,Jonathon Considine,2157,M 30-34,AUS,02:12:41,01:39:23,03:55:48,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
1,Matt Mckay,2593,M 45-49,AUS,02:17:19,01:34:43,03:56:24,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
2,Brett Franklin,2310,M 35-39,AUS,02:13:55,01:38:41,03:57:15,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
2,Lee Jackson,2574,M 45-49,AUS,02:16:09,01:37:24,03:57:25,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
3,Alex Sullivan,2009,M 35-39,AUS,02:18:22,01:34:51,03:59:47,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
4,James Cameron,2151,M 30-34,AUS,02:16:56,01:39:42,04:00:36,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
1,Mark Radziejewski,2077,M 25-29,AUS,02:19:27,01:35:27,04:00:40,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
4,Graeme Bamber,2291,M 35-39,AUS,02:16:39,01:42:05,04:03:47,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
3,John Nelson,2600,M 45-49,AUS,02:21:03,01:38:11,04:03:49,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
1,Tim Jacobs,2020,M 18-24,AUS,02:20:20,01:41:15,04:05:08,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
5,James Martin,2200,M 30-34,AUS,02:13:34,01:47:24,04:05:21,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
2,Gervase Vlahov,2091,M 25-29,AUS,02:19:11,01:41:28,04:05:46,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
1,Travis Fancourt,2425,M 40-44,AUS,02:23:43,01:37:50,04:07:07,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
4,Bill Hayes,2570,M 45-49,AUS,02:21:34,01:42:55,04:09:00,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
3,Matthew Waideman,2092,M 25-29,AUS,02:26:30,01:38:52,04:09:20,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
5,Chris Henry,2316,M 35-39,AUS,02:21:52,01:39:47,04:09:22,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
1,Gordon Durnan,2698,M 50-54,AUS,02:19:10,01:45:41,04:10:21,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
