Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
1,Max Neumann,16,MPRO,AUS,02:04:44,01:14:35,03:21:08,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
2,Aleksey Kalistratov,10,MPRO,RUS,02:06:26,01:13:16,03:21:58,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
3,Paul Schuster,17,MPRO,DEU,02:05:29,01:15:34,03:23:08,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
4,Taylor Reid,2,MPRO,CAN,02:05:44,01:16:03,03:23:45,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
5,Levi Maxwell,13,MPRO,AUS,02:06:19,01:17:38,03:25:48,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
6,Jakub Langhammer,12,MPRO,CZE,02:07:16,01:17:55,03:27:13,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
7,Peter Jacobs,1,MPRO,AUS,02:06:30,01:19:27,03:28:11,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
8,Elliot Bach,4,MPRO,USA,02:08:05,01:21:13,03:31:06,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
9,Breno Melo,14,MPRO,USA,02:08:48,01:19:49,03:31:07,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
10,Timothy Winslow,18,MPRO,USA,02:07:25,01:22:04,03:31:39,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
1,Peng Cheng Li,52,M25-29,CHN,02:11:58,01:23:23,03:37:08,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
1,Olivier Godart,145,M40-44,LUX,02:10:03,01:25:02,03:38:18,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
1,Aivaz Omorkanov,137,M18-24,KGZ,02:14:30,01:23:17,03:40:17,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
11,Blake Kappler,11,MPRO,AUS,02:07:32,01:32:07,03:41:39,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
1,Yong Yu,290,M30-34,CHN,02:20:51,01:17:41,03:42:30,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
12,Balazs Csoke,6,MPRO,HUN,02:13:32,01:27:03,03:42:49,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
2,Rostyagaev Dmitry,301,M30-34,RUS,02:14:13,01:28:30,03:46:29,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
3,Matthias Hoffmann,293,M30-34,DEU,02:23:27,01:19:29,03:47:21,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
2,Andrew Stevenson,58,M40-44,CHN,02:18:50,01:25:57,03:48:03,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
1,Kinsey Laine,28,FPRO,USA,02:18:48,01:27:44,03:48:39,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
3,Maxim Zotov,56,M40-44,RUS,02:26:58,01:21:15,03:50:32,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
4,Yanlong Kai,153,M30-34,CHN,02:24:25,01:23:56,03:51:45,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
13,Shen Yen Hsieh,9,MPRO,TWN,02:23:31,01:25:10,03:51:57,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
1,子龙 张,407,M35-39,CHN,02:18:49,01:29:20,03:51:58,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
