Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
1,Michael Weiss,1,M PRO,AUT,00:26:27,01:07:31,01:36:13,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
2,Andreas Giglmayr,3,M PRO,AUT,00:24:08,01:10:41,01:37:05,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
3,Laszlo Tarnai,30,M PRO,HUN,00:25:18,01:11:10,01:38:25,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
4,Florian Angert,4,M PRO,GER,00:23:18,01:13:30,01:39:05,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
5,Paul Reitmayr,7,M PRO,AUT,00:24:12,01:13:45,01:40:11,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
6,Felix Hentschel,37,M PRO,GER,00:27:17,01:11:08,01:40:40,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
7,Mattia Camporesi,36,M PRO,ITA,00:27:10,01:11:42,01:41:14,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
8,Alberto Casadei,39,M PRO,ITA,00:23:25,01:15:48,01:41:40,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
9,Daniel Fontana,42,M PRO,ITA,00:23:24,01:17:13,01:42:32,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
10,Guillaume Doree,40,M PRO,FRA,00:24:12,01:16:36,01:42:54,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
1,Simon Müller,263,M 18,GER,00:29:54,01:11:24,01:44:00,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
11,Julian Fritzenschaft,16,M PRO,GER,00:26:25,01:15:32,01:44:05,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
12,Christoph Schlagbauer,24,M PRO,AUT,00:27:07,01:15:18,01:44:48,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
13,Christian Jais,35,M PRO,GER,00:27:13,01:15:48,01:45:21,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
14,Manuel Küng,5,M PRO,SUI,00:23:19,01:20:31,01:45:58,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
15,Daniel Niederreiter,9,M PRO,AUT,00:25:16,01:18:40,01:46:06,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
2,Matt Grantham,823,M 18,GBR,00:26:29,01:16:36,01:46:10,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
16,Marc Eggeling,41,M PRO,GER,00:25:08,01:19:18,01:46:31,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
1,Laura Philipp,50,F PRO,GER,00:27:43,01:17:04,01:47:02,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
1,Wannes Swinnen,1071,M 25,BEL,00:26:22,01:18:37,01:47:21,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
2,Bastian Glockshuber,946,M 25,GER,00:26:45,01:17:29,01:47:54,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
17,Romain Garcin,15,M PRO,FRA,00:28:40,01:16:27,01:47:56,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
18,Niclas Baldauf,17,M PRO,AUT,00:27:04,01:19:13,01:48:34,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
2,Barbara Riveros,52,F PRO,CHI,00:25:49,01:20:41,01:48:53,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
1,Alexander Janitzki,330,M 45,GER,00:25:02,01:21:42,01:49:08,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
1,Christian Störzer,1709,M 35,GER,00:28:37,01:17:23,01:49:10,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
3,Markus Stöhr,145,M 25,GER,00:28:58,01:17:18,01:49:26,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
4,Steffen Stegmann,144,M 25,GER,00:25:44,01:20:19,01:49:27,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
19,Jan Sneberger,32,M PRO,CZE,00:27:10,01:20:30,01:50:16,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
3,Tom Hohenadl,828,M 18,GER,00:26:41,01:20:54,01:50:22,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
3,Alexandra Tondeur,62,F PRO,BEL,00:29:08,01:18:54,01:50:30,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
4,Hagen Bierlich,808,M 18,GER,00:30:15,01:17:00,01:50:33,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
4,Eva Wutti,54,F PRO,AUT,00:29:06,01:19:20,01:50:47,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
5,Matthias Türk,1077,M 25,GER,00:26:48,01:21:22,01:50:49,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
6,Christoph Peitz,1027,M 25,GER,00:28:23,01:19:25,01:50:57,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
7,Christian Grillitsch,953,M 25,AUT,00:26:33,01:22:03,01:51:01,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
5,Simon Elshorst,817,M 18,GER,00:29:28,01:18:52,01:51:07,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
1,Joël Junod,275,M 30,SUI,00:30:42,01:17:43,01:51:15,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
6,Marco Pavani,848,M 18,ITA,00:25:36,01:22:31,01:51:42,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
8,Adam Šimek,1059,M 25,CZE,00:29:13,01:19:19,01:51:44,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
2,Philipp Gubler,170,M 35,SUI,00:29:29,01:19:38,01:51:50,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
9,Rafa? W?sowski,1093,M 25,POL,00:27:37,01:22:13,01:52:12,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
10,Jeremy Barfuss,893,M 25,SUI,00:25:41,01:23:34,01:52:13,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
