Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
1,Cody Beals,7,MPRO,CAN,04:20:24,02:48:16,07:10:21,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
2,Matt Russell,2,MPRO,USA,04:23:40,02:55:45,07:21:55,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
3,Kirill Kotsegarov,1,MPRO,EST,04:22:46,02:58:07,07:23:06,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
4,Adam Otstot,16,MPRO,USA,04:30:34,02:59:52,07:32:12,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
5,Scott Defilippis,14,MPRO,USA,04:37:21,02:52:15,07:32:47,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
6,Adam Feigh,19,MPRO,USA,04:31:48,03:11:37,07:45:18,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
7,Markus Thomschke,12,MPRO,DEU,04:33:40,03:11:59,07:47:44,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
8,Paul Ambrose,6,MPRO,AUS,04:31:36,03:18:27,07:52:21,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
9,Colin Laughery,27,MPRO,USA,04:46:18,03:12:06,08:01:02,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
1,Thiago Bianchini,186,M30-34,BRA,04:59:27,03:03:10,08:04:23,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
2,Pat Redner,321,M30-34,USA,04:53:04,03:09:12,08:04:38,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
10,Jim Lubinski,20,MPRO,USA,04:38:19,03:23:41,08:04:42,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
11,Joe Gambles,4,MPRO,AUS,04:35:33,03:33:35,08:11:07,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
3,Nicholas Chapman,187,M30-34,ZAF,04:43:18,03:27:31,08:12:29,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
12,Sebastian Neef,33,MPRO,DEU,04:32:11,03:38:54,08:12:54,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
1,Josh Wolf,1742,M35-39,USA,04:54:44,03:17:44,08:14:53,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
1,Jessop Keene,1338,M25-29,USA,04:50:21,03:22:28,08:16:00,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
4,Tom Garvey,189,M30-34,USA,04:59:14,03:15:12,08:16:14,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
1,Mark Pellew,215,M40-44,ZAF,04:49:30,03:26:11,08:17:34,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
5,Reid Foster,591,M30-34,USA,04:43:06,03:31:56,08:18:26,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
2,Richard Backstrom,1560,M35-39,SWE,05:00:19,03:17:13,08:20:28,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
1,Patrick Martin,309,M18-24,USA,05:18:43,03:02:32,08:25:33,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
1,Russell Simkins,2734,M45-49,USA,05:12:59,03:10:09,08:25:47,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
13,Daniel Clarke,22,MPRO,CAN,04:47:16,03:36:26,08:25:59,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
6,Philipp Falk,1431,M30-34,AUT,04:47:32,03:36:34,08:26:38,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
2,Yassir Janah,210,M40-44,USA,05:05:01,03:20:42,08:28:48,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
