Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
1,Alistair Brownlee,1,M PRO,GBR,04:54:45,02:51:31,07:49:20,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
2,Bryan McCrystal,6,M PRO,IRL,04:37:49,03:10:24,07:51:18,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
3,Markus Thomschke,7,M PRO,GER,04:49:10,03:06:43,07:58:45,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
4,Justin Metzler,5,M PRO,USA,05:10:07,02:56:02,08:08:14,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
1,Tom Oosterdijk,181,M 25,NED,05:09:17,03:00:40,08:12:48,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
5,Seppe Odeyn,19,M PRO,BEL,05:10:04,03:00:47,08:13:20,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
1,Tjebbe Venema,192,M 30,NED,05:09:39,03:02:06,08:14:26,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
6,Till Schramm,23,M PRO,GER,05:09:21,03:11:14,08:23:26,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
2,Robert Fryer,899,M 30,GBR,05:17:05,03:03:00,08:23:43,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
2,Barnaby Palmer,179,M 25,GBR,05:24:44,02:56:25,08:24:14,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
3,Kristian Ek,113,M 30,SWE,05:09:36,03:19:10,08:32:01,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
3,Christopher Pocock,797,M 25,GBR,05:18:12,03:11:04,08:33:56,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
1,Daniel McParland,1089,M 35,GBR,05:05:33,03:26:36,08:36:33,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
4,Niels Ros,111,M 30,NED,05:16:17,03:15:50,08:37:31,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
4,Victor Lemasson,185,M 25,FRA,05:35:32,03:00:56,08:40:24,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
2,Emmet Kelly,1075,M 35,IRL,05:38:04,03:02:09,08:44:16,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
1,Emma Bilham,32,F PRO,SUI,05:30:30,03:16:16,08:50:18,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
5,John Humble,187,M 25,SWE,05:27:07,03:23:35,08:54:07,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
5,Clément Giteau,882,M 30,FRA,05:42:28,03:06:41,08:55:25,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
3,Gilian Oriet,1102,M 35,SUI,05:38:05,03:14:20,08:57:27,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
4,Marcin Kepka,204,M 35,POL,05:27:15,03:26:44,08:58:37,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
6,David Cole,190,M 30,GBR,05:26:06,03:29:17,08:59:42,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
6,Jan Heinrich,821,M 25,GER,05:42:05,03:14:02,09:00:32,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
1,Roman Lacko,132,M 45,GBR,05:25:30,03:30:10,09:00:33,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
