Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
1,Kristian Hogenhaug,6,M PRO,DEN,00:00:00,04:17:28,02:54:03,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
2,Ruedi Wild,38,M PRO,SUI,00:00:00,04:24:15,02:55:37,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
3,Paul Schuster,40,M PRO,GER,00:00:00,04:25:32,03:02:37,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
4,Arnaud Guilloux,23,M PRO,FRA,00:00:00,04:34:20,02:55:04,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
5,Philipp Mock,36,M PRO,GER,00:00:00,04:29:12,02:56:54,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
6,David Breuer,5,M PRO,GER,00:00:00,04:30:32,03:06:47,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
7,Benjamin Dicke,25,M PRO,GER,00:00:00,04:31:28,03:01:48,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
1,Joachim Krauth,360,M 30,GER,00:00:00,04:52:05,02:47:49,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
2,Christoph Mattner,119,M 30,GER,00:00:00,04:52:56,02:56:52,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
8,Thomas Bosch,39,M PRO,GER,00:00:00,04:41:32,03:04:44,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
1,Timo Schaffeld,113,M 18,GER,00:00:00,04:43:50,03:09:47,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
1,Jens Bernhart,896,M 25,GER,00:00:00,04:40:45,03:10:40,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
1,Susie Cheetham,55,F PRO,GBR,00:00:00,04:46:56,03:03:55,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
2,Nikolaj Rud Sørensen,352,M 25,DEN,00:00:00,04:48:11,03:07:14,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
2,Sarah Piampiano,52,F PRO,USA,00:00:00,04:50:54,02:56:20,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
3,Andreas Dietrich,114,M 25,GER,00:00:00,04:48:49,03:01:31,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
3,Tobias Ibrahim,195,M 30,GER,00:00:00,04:51:18,03:07:10,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
4,Markus Sudy,2637,M 30,GER,00:00:00,04:38:51,03:20:12,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
1,Claudio Oriana,1759,M 40,ITA,00:00:00,05:02:19,03:05:32,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
3,Julia Gajer,54,F PRO,GER,00:00:00,04:53:30,03:12:30,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
1,Jens Irgens,1988,M 45,DEN,00:00:00,04:39:30,03:14:58,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
1,Michael Göhner,1336,M 35,GER,00:00:00,04:43:51,03:22:20,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
5,Jan De Clercq,189,M 30,BEL,00:00:00,04:48:15,03:14:35,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
6,Quentin De Vos,1058,M 30,BEL,00:00:00,04:58:13,03:04:42,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
2,Timmy Deman,369,M 35,BEL,00:00:00,04:49:37,03:16:51,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
3,Chris Gassert,122,M 35,GER,00:00:00,04:51:22,03:15:27,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
2,Mathias Pfähler,144,M 45,GER,00:00:00,04:37:59,03:14:59,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
4,Frank Krügener,1389,M 35,GER,00:00:00,04:38:32,03:24:35,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
7,Alexander Beck,1030,M 30,GER,00:00:00,04:50:10,03:14:05,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
5,Johannes Jolmes,377,M 35,GER,00:00:00,04:49:54,03:00:32,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
9,Sebastian Guhr,8,M PRO,GER,00:00:00,04:44:53,03:15:40,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
8,Christoph Che Keller,359,M 30,GER,00:00:00,04:57:32,03:10:44,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
2,Dany Papi,134,M 40,LUX,00:00:00,04:58:07,03:02:00,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
6,Frank Walter,223,M 35,GER,00:00:00,04:53:32,03:17:00,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
4,Caroline Steffen,51,F PRO,SUI,00:00:00,04:56:15,03:19:35,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
2,Lukas Schnödewind,882,M 18,GER,00:00:00,04:51:23,03:28:53,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
9,Reinke Eiben,1065,M 30,GER,00:00:00,05:06:00,03:12:03,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
7,Raffael Berger,1260,M 35,GER,00:00:00,04:41:04,03:30:11,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
4,Laurens De Smet,347,M 25,BEL,00:00:00,05:00:51,03:19:47,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
10,Marc Lloret Cabot,1139,M 30,ESP,00:00:00,04:59:41,03:16:25,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
10,Grigorii Navrotskii,10,M PRO,RUS,00:00:00,05:04:36,03:16:46,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
8,Heiko Pietsch,1451,M 35,GER,00:00:00,04:56:38,03:11:35,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
9,Simon Lovelock,213,M 35,GBR,00:00:00,05:05:02,03:07:34,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
11,Philipp Fahrenholz,35,M PRO,GER,00:00:00,04:51:16,03:27:33,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
3,Paul Lunn,142,M 45,GBR,00:00:00,04:48:04,03:27:27,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
11,Andreas Först,192,M 30,GER,00:00:00,05:00:18,03:07:47,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
4,Mark Arndt,138,M 45,GBR,00:00:00,05:02:32,03:12:32,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
3,Martin Schütt,243,M 40,GER,00:00:00,04:58:54,03:20:45,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
5,Jesper Pedersen,971,M 25,DEN,00:00:00,04:54:26,03:25:40,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
5,Martina Kunz,62,F PRO,SUI,00:00:00,04:53:53,03:21:08,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
4,Guido Kwakkel,1710,M 40,NED,00:00:00,04:52:09,03:31:08,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
10,Christian Frankenbach,1321,M 35,GER,00:00:00,05:04:17,03:05:56,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
12,Vojtech Rakušan,1176,M 30,CZE,00:00:00,05:03:46,03:26:03,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
5,Uli Salentin,427,M 45,GER,00:00:00,04:59:25,03:28:57,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
5,Jörg Scheiderbauer,1800,M 40,GER,00:00:00,04:49:20,03:38:36,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
11,Dag Störmer,386,M 35,GER,00:00:00,04:52:55,03:33:49,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
12,René Pfaffner,1446,M 35,GER,00:00:00,05:13:38,03:05:18,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
13,Maximilian Wienken,1234,M 30,GER,00:00:00,04:55:01,03:30:09,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
6,Jack Schofield,115,M 25,GBR,00:00:00,04:42:30,03:37:16,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
6,Morten Stokholm,278,M 45,DEN,00:00:00,04:50:10,03:45:21,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
13,Danny Verdoorn,388,M 35,NED,00:00:00,05:00:06,03:22:59,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
7,Kirill Kravchenko,949,M 25,RUS,00:00:00,05:10:00,03:23:13,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
14,Erik Hennighausen,375,M 35,GER,00:00:00,04:53:04,03:34:38,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
6,Pawel Targoni,1831,M 40,POL,00:00:00,05:04:08,03:18:54,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
15,Torben Kostiuk,126,M 35,GER,00:00:00,05:13:44,03:06:36,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
7,Frank Plamann,399,M 40,GER,00:00:00,05:03:01,03:22:52,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
16,Daniel Domirski,371,M 35,POL,00:00:00,04:56:19,03:31:05,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
1,Dirk Casimir,2195,M 50,GER,00:00:00,05:03:37,03:28:19,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
