Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
1,Eric Engel,2312,M30-34,USA,04:49:29,02:58:38,07:51:45,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
2,Justin Herrick,1388,M30-34,USA,04:57:09,02:54:19,07:53:52,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
1,Jerome Marechal,92,M35-39,BEL,04:52:22,03:03:02,07:58:50,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
1,Aaron Mahoney,1302,M25-29,USA,04:49:39,03:08:08,08:00:45,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
1,Stephen Day,471,M45-49,GBR,04:56:48,03:00:08,08:01:00,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
2,Brian Willing,97,M35-39,USA,04:59:07,03:02:18,08:04:21,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
3,Dustin Leutenegger,2328,M35-39,USA,04:53:18,03:08:15,08:04:47,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
4,Alden Basmajian,245,M35-39,USA,04:55:03,03:09:38,08:08:12,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
1,Ivan O'Gorman,2340,M40-44,IRL,05:08:33,02:55:38,08:08:32,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
2,Eric Moser,1308,M25-29,USA,04:52:27,03:13:44,08:09:00,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
5,Matt Gervais,88,M35-39,CAN,05:03:28,03:01:08,08:09:33,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
2,Patrick Harfield,279,M40-44,CYM,04:49:27,03:16:39,08:09:36,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
3,Michael Tomchaney,240,M30-34,USA,05:01:40,03:04:50,08:10:05,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
4,Scott Mingay,80,M30-34,USA,05:03:10,03:04:05,08:10:46,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
5,Derek Stone,238,M30-34,USA,05:08:20,02:59:13,08:10:47,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
6,Joe Adriaens,224,M30-34,USA,04:55:36,03:15:18,08:13:44,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
6,Ronaldo Ferreira,2324,M35-39,BRA,04:57:05,03:13:40,08:13:56,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
2,Colin Morrison,2360,M45-49,CAN,04:55:42,03:14:15,08:14:48,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
3,Przemyslaw Szuder,460,M40-44,POL,04:56:37,03:17:18,08:17:22,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
3,Nikolay Makhnenko,221,M25-29,RUS,04:55:40,03:19:01,08:17:34,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
4,Adam Treschow,462,M40-44,SWE,05:06:13,03:06:40,08:17:35,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
5,Josh Madsen,2338,M40-44,USA,04:55:35,03:17:04,08:17:46,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
7,Joel Homan,90,M35-39,USA,05:02:55,03:13:11,08:18:52,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
4,Keith Jackson,75,M25-29,USA,05:09:47,03:04:08,08:19:15,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
8,Nicholas Modrzejewski,94,M35-39,USA,05:08:10,03:06:48,08:19:38,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
3,Martin Kirwan,1864,M45-49,IRL,05:01:00,03:13:19,08:19:46,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
5,Garrett Gardner,2309,M25-29,USA,05:09:16,03:06:28,08:19:47,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
7,Ben Rotherham,236,M30-34,USA,05:02:16,03:12:54,08:20:54,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
6,Alec Tripp,77,M25-29,USA,05:10:18,03:07:46,08:21:31,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
9,Matthew Decker,250,M35-39,USA,04:59:41,03:16:39,08:22:45,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
1,Glen Thompson,346,M50-54,USA,05:07:04,03:10:24,08:23:24,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
6,Jeffrey Schleppy,115,M40-44,USA,04:59:28,03:20:46,08:23:36,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
7,Samuel Clarot,72,M25-29,USA,05:10:56,03:10:30,08:24:43,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
8,Victor Navarro Castello Branco,1415,M30-34,BRA,05:05:44,03:15:01,08:24:48,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
4,Garrett Bowers,466,M45-49,USA,05:02:50,03:19:52,08:25:41,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
10,Dave Condon,249,M35-39,USA,05:05:29,03:17:33,08:27:23,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
11,Matthew Musiak,1567,M35-39,USA,05:00:36,03:22:25,08:28:02,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
7,Arkadiusz Sienica,290,M40-44,POL,05:06:27,03:17:12,08:28:03,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
8,Kyle Williams,223,M25-29,USA,04:56:14,03:29:14,08:28:07,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
9,Cody Caissie,71,M25-29,CAN,05:04:09,03:21:29,08:29:17,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
12,Matt Shaffer,96,M35-39,USA,05:02:53,03:21:39,08:29:19,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
9,Dan Harty,227,M30-34,USA,05:05:29,03:20:01,08:30:14,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
8,R J Montes,110,M40-44,USA,05:12:12,03:14:58,08:30:34,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
9,Jeff Fejfar,101,M40-44,USA,04:47:55,03:38:58,08:30:50,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
5,John Hessian,1847,M45-49,AFG,05:01:05,03:25:58,08:31:18,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
13,Bashkim Zaganjori,1605,M35-39,ALB,05:06:06,03:21:28,08:31:54,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
14,Rafal Borowiak,85,M35-39,POL,05:14:38,03:13:30,08:33:09,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
6,Brad Pruim,2401,M45-49,USA,05:11:38,03:17:10,08:33:17,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
7,Scott Hamilton,2351,M45-49,CAN,05:05:12,03:23:56,08:33:36,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
