Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
1,Chris Nocera,1316,M 30-34,USA,04:04:48,02:50:57,06:59:24,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
2,John Kelly,355,M 30-34,USA,04:07:11,02:53:04,07:04:06,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
1,Jacob Wissum,132,M 35-39,DNK,03:59:03,03:02:22,07:04:48,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
1,Ritch Viola,244,M 40-44,USA,03:59:26,03:11:30,07:13:55,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
1,Daniel Clarke,185,M 25-29,CAN,04:01:42,03:09:36,07:14:38,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
2,Johannes Egelseer,362,M 35-39,DEU,04:09:40,03:03:23,07:16:05,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
2,Victor Larocque,1169,M 25-29,CAN,04:16:31,02:55:56,07:16:14,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
2,Carlos Andres Sequeira Guzman,136,M 40-44,CRI,04:17:51,02:54:14,07:17:11,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
1,Nicholas Marcantonio,1100,M 18-24,USA,04:11:38,03:00:30,07:17:40,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
3,Nicholas Grala,191,M 30-34,USA,04:08:37,03:07:08,07:18:09,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
4,Thiago Bianchini,2632,M 30-34,BRA,04:14:49,03:01:53,07:20:01,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
3,Arnaud Edus,1423,M 35-39,FRA,04:03:26,03:13:03,07:20:57,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
2,Thomas Edwards,1088,M 18-24,USA,04:11:19,03:09:00,07:23:51,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
4,Janus Kempel Ellegaard,1426,M 35-39,DNK,04:01:20,03:18:49,07:25:55,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
3,Brady Dehoust,225,M 40-44,USA,04:17:09,03:05:19,07:26:11,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
5,Steven Keller,2636,M 30-34,USA,04:10:32,03:13:49,07:30:10,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
6,Theo Richardson,198,M 30-34,USA,04:09:08,03:19:24,07:32:23,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
4,James Schriel,135,M 40-44,CAN,04:12:46,03:15:50,07:32:26,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
5,Xavier Coppock,360,M 35-39,AUS,03:56:45,03:34:24,07:34:02,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
6,Jared Tootell,220,M 35-39,USA,04:21:02,03:09:35,07:34:39,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
7,Karl O'Reilly,129,M 35-39,IRL,04:21:31,03:10:13,07:37:40,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
8,Tim Perkin,130,M 35-39,USA,04:13:06,03:19:44,07:38:09,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
5,Daniel Henggeler,232,M 40-44,CHE,04:18:44,03:14:04,07:38:20,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
9,Brendan Corcoran,1407,M 35-39,USA,04:22:00,03:12:35,07:39:14,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
1,Dino Franke,397,M 45-49,DEU,04:09:14,03:28:11,07:41:27,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
6,Roland Scheurer,1774,M 40-44,CHE,04:18:02,03:24:06,07:47:37,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
10,Jerry Sancinito,373,M 35-39,USA,04:16:19,03:28:22,07:49:38,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
2,John W Schlosser,2067,M 45-49,USA,04:16:47,03:29:00,07:49:48,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
7,Jp Dowd,227,M 40-44,USA,04:13:47,03:33:42,07:50:15,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
11,Lars Johansson,1467,M 35-39,SWE,04:23:35,03:21:23,07:50:28,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
7,Matthew Freiman,2635,M 30-34,USA,04:22:05,03:22:54,07:50:37,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
