Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
1,Terenzo Bozzone,1,M PRO,NZL,04:15:59,02:53:05,07:12:30,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
2,Dougal Allan,9,M PRO,NZL,04:12:35,03:01:52,07:18:07,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
3,Tim Van Berkel,4,M PRO,AUS,04:13:06,03:10:29,07:27:07,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
4,Cameron Brown,3,M PRO,NZL,04:33:46,02:53:44,07:32:22,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
5,Nathan Shearer,26,M PRO,AUS,04:15:50,03:15:33,07:35:32,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
6,Konstantin Bachor,14,M PRO,DEU,04:10:48,03:24:57,07:39:40,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
7,Scott Defilippis,19,M PRO,USA,04:31:30,03:11:42,07:48:26,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
1,Levi Hauwert,1657,M 30-34,AUS,04:41:12,03:04:20,07:49:36,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
8,Per Bittner,8,M PRO,DEU,04:31:41,03:14:46,07:50:36,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
1,Melissa Hauschildt,35,F PRO,AUS,04:37:42,03:10:46,07:52:04,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
9,Leigh Stabryla,27,M PRO,AUS,04:39:57,03:10:02,07:54:05,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
2,Carrie Lester,38,F PRO,AUS,04:38:44,03:16:05,07:59:07,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
3,Camilla Lindholm,47,F PRO,SWE,04:48:21,03:09:41,08:01:59,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
1,Ben O'Neill,608,M 25-29,AUS,04:34:02,03:27:20,08:04:55,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
10,Philipp Koutny,22,M PRO,CHE,04:21:26,03:39:11,08:05:08,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
11,Damien Collins,17,M PRO,AUS,04:37:57,03:24:41,08:06:30,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
1,Joshua Randall,136,M 35-39,USA,04:27:56,03:32:47,08:07:48,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
2,Johan Borg,575,M 25-29,AUS,04:37:54,03:26:03,08:09:13,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
4,Yvonne Van Vlerken,37,F PRO,NLD,04:45:07,03:22:20,08:11:01,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
2,Scott Hobson,238,M 35-39,AUS,04:40:13,03:26:44,08:11:48,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
1,Campbell Hanson,426,M 40-44,NZL,04:36:08,03:31:24,08:12:19,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
2,Dane Roberts,127,M 30-34,AUS,04:44:51,03:23:17,08:12:44,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
3,Jacob Riley,126,M 30-34,AUS,04:29:47,03:38:51,08:12:50,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
3,Ryan Blesing,111,M 25-29,AUS,04:45:53,03:22:29,08:14:18,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
2,Stephane Bruggen,1670,M 40-44,AUS,04:35:42,03:34:19,08:14:47,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
3,Grant Hornsby,134,M 35-39,AUS,04:50:38,03:21:05,08:16:28,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
12,Carl Read,25,M PRO,NZL,04:43:49,03:29:10,08:18:46,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
4,Josh Minogue,393,M 30-34,AUS,04:51:15,03:22:23,08:19:48,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
5,Dale Jamieson,697,M 30-34,AUS,04:52:52,03:25:38,08:23:29,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
5,Meredith Hill,44,F PRO,AUS,04:56:22,03:22:33,08:24:01,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
4,Dominic Lopez,875,M 35-39,AUS,04:44:07,03:34:11,08:24:51,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
6,Simon Anderson,118,M 30-34,AUS,04:47:15,03:34:55,08:25:40,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
1,Anthony Cowan,295,M 45-49,NZL,04:51:09,03:29:06,08:27:44,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
7,Nick Harger,123,M 30-34,IRL,04:59:21,03:22:58,08:28:18,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
4,Sam Colvin,513,M 25-29,AUS,04:57:33,03:24:48,08:28:41,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
6,Mareen Hufe,36,F PRO,DEU,04:41:53,03:43:03,08:29:50,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
8,David Clark,208,M 30-34,AUS,04:51:43,03:33:19,08:30:57,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
5,Matthew Dawes,822,M 35-39,AUS,04:54:12,03:32:02,08:31:01,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
3,Alastair Stewart,281,M 40-44,ZAF,05:07:52,03:21:07,08:33:55,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
9,Raido Luuk,212,M 30-34,AUS,05:06:56,03:21:12,08:34:06,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
6,Mark Hunter,846,M 35-39,AUS,05:04:52,03:24:50,08:34:13,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
