Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Thomas Steger,45,M PRO,AUT,00:25:27,02:10:03,01:14:55,03:55:02,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
2,Frederic Funk,52,M PRO,GER,00:23:36,02:09:01,01:18:18,03:55:51,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
3,Florian Angert,3,M PRO,GER,00:23:40,02:09:06,01:19:04,03:56:37,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
4,Ruben Zepuntke,41,M PRO,GER,00:23:42,02:05:04,01:22:56,03:57:21,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
5,Jan Stratmann,38,M PRO,GER,00:23:14,02:12:11,01:16:39,03:57:25,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
6,Matt Trautman,46,M PRO,RSA,00:25:15,02:12:45,01:16:31,03:59:34,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
7,Christian Birngruber,11,M PRO,AUT,00:25:34,02:10:06,01:20:32,04:01:09,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
8,Alessandro Degasperi,9,M PRO,ITA,00:23:42,02:15:08,01:18:05,04:02:34,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
9,Andreas Giglmayr,1,M PRO,AUT,00:23:40,02:11:42,01:23:04,04:03:58,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
10,Johann Ackermann,7,M PRO,GER,00:23:33,02:15:38,01:21:09,04:05:49,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
11,Pierre Balty,13,M PRO,BEL,00:25:26,02:18:41,01:18:31,04:07:35,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
12,László Tarnai,2,M PRO,HUN,00:25:24,02:21:25,01:18:31,04:10:37,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
13,Lukasz Wojt,6,M PRO,GER,00:22:33,02:16:12,01:27:17,04:11:30,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
14,Milan Brons,15,M PRO,NED,00:25:25,02:15:33,01:25:33,04:11:56,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
15,Samuel Huerzeler,26,M PRO,SUI,00:25:27,02:15:13,01:26:03,04:12:50,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
1,Dennis Soisch,2873,MRELAY,,00:33:32,02:12:38,01:21:22,04:12:52,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
16,Maximilian Hammerle,14,M PRO,AUT,00:27:37,02:18:56,01:21:39,04:13:26,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
17,Fabian Günther,24,M PRO,GER,00:25:37,02:18:47,01:24:43,04:15:14,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
1,Julien Viennot,1447,M 30,FRA,00:29:16,02:16:08,01:23:59,04:17:22,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
1,Hagen Bierlich,107,M 25,GER,00:28:44,02:19:13,01:20:15,04:17:32,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
18,Marcus Herbst,25,M PRO,GER,00:25:26,02:12:44,01:34:34,04:17:46,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
19,Benjamin Dicke,21,M PRO,GER,00:28:59,02:19:21,01:23:38,04:18:04,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
20,Andrea Recagno,34,M PRO,ITA,00:25:36,02:20:20,01:26:29,04:18:08,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
21,Juan Eudes Demaret,20,M PRO,FRA,00:29:07,02:17:24,01:26:59,04:19:17,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
22,Florian Kandutsch,8,M PRO,AUT,00:27:40,02:20:41,01:27:02,04:21:17,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
1,Christian Muth,2815,RELAY,,00:29:14,02:23:52,01:23:24,04:21:51,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
23,Colin Norris,31,M PRO,GBR,00:25:24,02:33:29,01:16:06,04:22:43,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
1,Daniela Bleymehl,61,F PRO,GER,00:27:22,02:24:02,01:26:45,04:23:49,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
2,Armand Kerckhoffs,2824,MRELAY,,00:31:19,02:17:13,01:30:16,04:24:47,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
2,Els Visser,74,F PRO,NED,00:28:40,02:22:52,01:30:35,04:27:39,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
24,Davide Rossetti,35,M PRO,ITA,00:28:45,02:26:45,01:26:54,04:29:03,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
2,Barbara Gschwandtner,2869,RELAY,,00:29:02,02:21:33,01:33:16,04:29:51,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
25,Jan Sneberger,37,M PRO,CZE,00:27:41,02:28:13,01:28:17,04:30:43,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
2,Alexander Saul,1082,M 25,GER,00:27:52,02:24:08,01:33:09,04:31:05,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
3,Lisa Hütthaler,62,F PRO,AUT,00:28:36,02:27:38,01:29:43,04:31:13,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
26,Anthony Cadario,17,M PRO,FRA,00:30:08,02:27:52,01:27:53,04:32:03,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
1,Marco Pavani,144,M 18,ITA,00:27:07,02:26:27,01:32:42,04:32:23,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
3,Roland Ziegaus,1135,M 25,GER,00:28:19,02:29:38,01:28:59,04:32:53,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
1,Alexander Riwny,287,M 35,GER,00:29:52,02:25:08,01:29:57,04:33:01,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
2,Gerhard Marchl,1648,M 35,AUT,00:29:37,02:28:21,01:28:34,04:33:06,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
4,Dennis Bakker,948,M 25,NED,00:34:52,02:20:38,01:31:22,04:33:57,Ironman 70.3 Zell am See,09/01/2019,"Zell am See, Austria
"
