Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Patrick Lange,1,MPRO,GER,00:50:36,04:16:05,02:41:31,07:52:38,Ironman Hawaii,10/13/2018,"Kona, Hawaii, USA"
2,Bart Aernouts,16,MPRO,BEL,00:54:06,04:12:26,02:45:42,07:56:41,Ironman Hawaii,10/13/2018,"Kona, Hawaii, USA"
3,David McNamee,5,MPRO,GBR,00:49:30,04:21:18,02:46:03,08:01:08,Ironman Hawaii,10/13/2018,"Kona, Hawaii, USA"
4,Tim O'Donnell,43,MPRO,USA,00:47:44,04:18:45,02:52:34,08:03:17,Ironman Hawaii,10/13/2018,"Kona, Hawaii, USA"
5,Braden Currie,10,MPRO,NZL,00:49:28,04:17:17,02:53:39,08:04:41,Ironman Hawaii,10/13/2018,"Kona, Hawaii, USA"
6,Matt Russell,58,MPRO,USA,00:54:02,04:12:58,02:52:56,08:04:44,Ironman Hawaii,10/13/2018,"Kona, Hawaii, USA"
7,Joe Skipper,24,MPRO,GBR,00:50:52,04:15:40,02:54:16,08:05:54,Ironman Hawaii,10/13/2018,"Kona, Hawaii, USA"
8,Andy Potts,14,MPRO,USA,00:49:32,04:18:51,02:56:26,08:09:33,Ironman Hawaii,10/13/2018,"Kona, Hawaii, USA"
9,Cameron Wurf,19,MPRO,AUS,00:50:50,04:09:05,03:06:18,08:10:31,Ironman Hawaii,10/13/2018,"Kona, Hawaii, USA"
10,Michael Weiss,21,MPRO,AUT,00:54:14,04:11:27,03:00:02,08:11:04,Ironman Hawaii,10/13/2018,"Kona, Hawaii, USA"
11,Javier Gomez Noya,7,MPRO,ESP,00:47:45,04:19:43,02:59:25,08:11:41,Ironman Hawaii,10/13/2018,"Kona, Hawaii, USA"
12,Tim Van Berkel,20,MPRO,AUS,00:50:38,04:27:46,02:50:37,08:13:47,Ironman Hawaii,10/13/2018,"Kona, Hawaii, USA"
