Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Denis Chevrot,22,M PRO,FRA,00:24:24,02:10:39,01:14:49,03:55:02,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
2,Philipp Koutny,25,M PRO,SUI,00:25:26,02:09:44,01:17:35,03:57:45,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
3,Bruno Pais,21,M PRO,POR,00:26:41,02:21:34,01:22:24,04:15:36,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
1,Kevin Sleegers,48,M 25,NED,00:26:36,02:22:27,01:23:16,04:18:00,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
2,Anthony CADARIO,46,M 25,FRA,00:28:29,02:24:01,01:18:54,04:18:01,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
1,Vanrisch Mclean,858,M 30,GBR,00:30:55,02:20:01,01:22:14,04:19:37,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
1,Mário Machado,1775,M 45,POR,00:27:38,02:24:21,01:22:13,04:20:30,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
1,Rowan Vorster,116,M 40,RSA,00:27:29,02:22:30,01:25:25,04:21:21,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
2,Carlos Cruz,219,M 45,POR,00:26:04,02:22:54,01:25:31,04:21:43,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
3,Sergi Tur Perez,715,M 25,ESP,00:28:45,02:20:13,01:25:56,04:21:50,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
2,Javier Solache Molina,917,M 30,ESP,00:29:26,02:18:47,01:27:06,04:22:07,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
4,Miguel Furtado,642,M 25,POR,00:26:01,02:26:14,01:23:26,04:22:23,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
3,Jorge Unzueta March,927,M 30,ESP,00:30:19,02:24:50,01:21:10,04:22:33,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
4,Ivan Tejero,34,M PRO,ESP,00:25:25,02:25:42,01:25:51,04:22:42,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
5,Tiaan Swart,44,M 25,RSA,00:27:56,02:17:31,01:30:51,04:23:05,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
4,Matthias Kindel,829,M 30,GER,00:28:49,02:25:40,01:24:43,04:25:47,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
5,Roman Bauer,737,M 30,RUS,00:27:37,02:26:51,01:23:31,04:26:12,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
5,Mathias Verniau,29,M PRO,FRA,00:33:16,02:18:41,01:27:29,04:26:27,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
3,ANDREA LUBERTI,61,M 45,ITA,00:28:57,02:20:17,01:30:38,04:26:36,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
6,Tim Hancock,23,M PRO,GBR,00:28:27,02:28:52,01:24:08,04:27:26,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
6,Nicholas De Bouillane,45,M 25,FRA,00:27:13,02:24:24,01:29:23,04:27:50,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
7,Marc Sadurni De La Torre,703,M 25,ESP,00:37:07,02:23:18,01:21:33,04:28:24,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
8,Arnaud SEGURET,708,M 25,FRA,00:29:13,02:25:50,01:27:51,04:29:19,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
2,Luís Mira Nunes,1526,M 40,POR,00:32:36,02:26:16,01:22:56,04:29:37,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
7,Jordi Pascual Sales,30,M PRO,ESP,00:26:47,02:35:41,01:21:08,04:29:39,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
3,Auke Geurts,58,M 40,NED,00:28:14,02:23:44,01:30:56,04:29:42,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
1,Italo Esselin Filho,1054,M 35,BRA,00:27:30,02:23:13,01:32:07,04:29:49,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
2,Nelson Mestre,1144,M 35,POR,00:27:26,02:33:30,01:23:14,04:30:00,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
4,Paulo Figueiredo,217,M 45,POR,00:28:50,02:20:47,01:34:03,04:30:50,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
3,Guillermo Olcina,192,M 35,ESP,00:29:24,02:24:53,01:29:24,04:30:51,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
1,Daniel Wicki,604,M 18,SUI,00:26:31,02:24:23,01:34:16,04:31:39,Ironman 70.3 Cascais,09/03/2017,"Cascais, Portugal"
