Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Patrik Nilsson,10,MPRO,SWE,00:49:17,04:13:17,02:42:21,07:50:55,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
2,David Plese,11,MPRO,SVN,00:52:08,04:17:44,02:46:22,08:01:50,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
3,Andrew Starykowicz,40,MPRO,USA,00:50:39,04:03:01,03:04:38,08:03:53,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
4,Joe Skipper,8,MPRO,GBR,00:53:32,04:21:23,02:44:39,08:05:03,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
5,Matt Hanson,1,MPRO,USA,00:53:38,04:20:48,02:50:09,08:09:28,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
6,Kyle Buckingham,6,MPRO,ZAF,00:53:30,04:20:56,02:51:54,08:11:21,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
7,Michael Weiss,7,MPRO,AUT,00:56:15,04:15:59,02:55:17,08:13:04,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
8,Sam Proctor,37,MPRO,GBR,00:52:12,04:26:42,02:50:17,08:14:16,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
9,Mauricio Mendez Cruz,14,MPRO,MEX,00:50:40,04:30:31,02:49:01,08:15:43,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
10,Pedro Gomes,16,MPRO,PRT,00:53:29,04:27:14,02:52:02,08:18:17,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
11,Allan Hovda,30,MPRO,NOR,00:59:42,04:20:59,02:54:38,08:20:45,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
12,Matt Russell,4,MPRO,USA,00:59:16,04:22:41,02:58:04,08:25:27,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
13,Sebastian Najmowicz,35,MPRO,POL,00:50:43,04:30:59,02:59:02,08:26:43,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
14,Clay Emge,25,MPRO,USA,00:53:44,04:35:59,02:58:27,08:34:36,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
15,Raul Tejada,39,MPRO,GTM,00:56:12,04:35:37,02:57:32,08:35:04,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
16,Martin Fredriksson,26,MPRO,SWE,00:56:17,04:24:35,03:09:05,08:36:41,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
1,Daniela Ryf,45,FPRO,CHE,00:54:02,04:40:39,02:57:24,08:37:48,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
2,Jocelyn McCauley,46,FPRO,USA,00:54:08,04:40:21,02:59:32,08:39:40,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
17,Pete Dyson,24,MPRO,GBR,00:59:19,04:29:26,03:09:31,08:44:29,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
18,Colin Laughery,32,MPRO,USA,00:59:17,04:41:10,03:09:30,08:56:22,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
1,Juan Valencia,288,M40-44,COL,00:55:45,04:45:46,03:07:55,08:57:13,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
1,Christopher Dels,426,M35-39,DEU,00:58:24,04:43:38,03:08:31,08:57:35,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
1,Aleksej Calmann,394,M25-29,DNK,01:05:19,04:29:33,03:15:28,08:58:00,Ironman Texas,04/27/2019,"The Woodlands, Texas, USA"
