Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,George Goodwin,24,MPRO,GBR,00:24:09,02:01:34,01:08:30,03:38:57,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
2,Rodolphe Von Berg,21,MPRO,USA,00:22:01,02:03:02,01:09:34,03:39:21,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
3,Jan Stratmann,37,MPRO,GER,00:21:58,02:02:55,01:09:45,03:39:32,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
4,Filipe Azevedo,27,MPRO,POR,00:22:04,02:03:01,01:09:32,03:39:46,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
5,Kyle Smith,47,MPRO,NZL,00:21:54,02:01:14,01:12:18,03:40:02,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
6,Miki Taagholt,34,MPRO,DEN,00:21:56,02:03:14,01:10:58,03:41:05,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
7,Magnus Ditlev,28,MPRO,DEN,00:22:17,02:02:27,01:11:51,03:41:45,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
8,Jesper Svensson,48,MPRO,SWE,00:21:59,02:03:06,01:12:38,03:42:26,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
9,Florian Angert,26,MPRO,GER,00:22:06,02:02:42,01:13:55,03:43:48,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
10,Mattia Ceccarelli,44,MPRO,ITA,00:22:04,02:03:00,01:15:47,03:45:53,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
11,Frederik Henes,29,MPRO,GER,00:22:00,02:06:47,01:12:59,03:47:12,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
12,Sebastian Neef,55,MPRO,GER,00:24:34,02:06:38,01:13:50,03:50:00,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
13,Michael Raelert,30,MPRO,GER,00:21:58,02:02:44,01:21:30,03:51:54,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
14,Tristan Olij,41,MPRO,NED,00:23:26,02:07:30,01:17:09,03:53:49,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
15,Fabian Günther,43,MPRO,GER,00:24:41,02:08:04,01:16:18,03:54:12,Ironman 70.3 Elsinore,06/27/2021,"Elsinore, Denmark"
