Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Timothy James Reed,2,MPRO,AUS,00:24:16,02:06:28,01:26:27,04:01:19,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
2,Mike Philips,14,MPRO,NZL,00:24:15,02:12:34,01:21:13,04:02:08,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
3,Tim Van Berkel,3,MPRO,AUS,00:24:18,02:12:27,01:22:18,04:03:11,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
4,Jakub Langhammer,5,MPRO,CZE,00:24:37,02:12:09,01:22:19,04:03:16,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
5,Terenzo Bozzone,12,MPRO,NZL,00:24:18,02:12:19,01:25:06,04:05:59,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
-,Team Go4less,3355,RELAY-M,PHL,00:27:30,02:19:04,01:15:25,04:06:43,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
-,Team Spectrum Tri Team 1- Sto. Ni O Dialysis Center,3347,RELAY-M,PHL,00:28:37,02:17:59,01:19:56,04:11:17,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
-,Team Spectrum Tri Team Mayo Kidney Care,3497,RELAY-MIX,PHL,00:32:52,02:16:13,01:17:45,04:11:38,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
-,Team Spectrum Tri-Team 2 Mayo Clinic,3333,RELAY-M,PHL,00:32:18,02:16:58,01:19:15,04:13:58,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
6,Justin Ghosh,11,MPRO,AUS,00:28:38,02:19:47,01:22:21,04:15:37,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
7,Blake Kappler,13,MPRO,AUS,00:25:57,02:16:42,01:29:10,04:16:15,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
-,Team Rider Omega Tri Team1,3534,RELAY-MIX,PHL,00:29:33,02:19:52,01:22:25,04:16:21,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
-,Team Air Relax Philippines,3603,RELAY-M,PHL,00:30:29,02:24:55,01:21:27,04:21:27,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
1,Thomas Elliott,393,M35-39,GBR,00:33:29,02:15:57,01:27:31,04:22:43,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
1,Caroline ​claudia Steffen,22,FPRO,CHE,00:27:04,02:17:20,01:34:55,04:24:08,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
8,Nikko Huelgas,45,MPRO,PHL,00:28:26,02:17:34,01:33:58,04:24:54,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
9,Eric Watson,9,MPRO,BHR,00:24:13,02:12:09,01:45:23,04:27:31,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
10,Luke McKenzie,7,MPRO,AUS,00:24:22,02:12:35,01:46:35,04:27:31,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
-,Team Tri Snd Barracuda,3537,RELAY-MIX,PHL,00:28:58,02:27:01,01:27:45,04:28:49,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
11,Shen Yen Hsieh,16,MPRO,TWN,00:24:19,02:12:38,01:46:52,04:28:49,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
12,Mitch Robins,10,MPRO,AUS,00:28:30,02:28:18,01:28:24,04:32:00,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
13,August Benedicto,41,MPRO,PHL,00:32:16,02:23:48,01:32:32,04:32:42,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
14,Yu-Hung Hsieh,44,MPRO,TWN,00:28:24,02:16:15,01:46:27,04:36:10,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
2,Dimity Lee Duke,23,FPRO,AUS,00:30:34,02:24:10,01:36:58,04:36:46,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
2,Petr Lukosz,477,M35-39,CZE,00:30:52,02:18:57,01:40:14,04:37:45,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
3,Courtney Gilfillan,31,FPRO,AUS,00:27:05,02:28:10,01:39:28,04:39:17,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
-,Team One Humanity Tri Team,3381,RELAY-M,PHL,00:33:36,02:37:48,01:23:57,04:40:30,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
3,Ali King,467,M35-39,GBR,00:35:59,02:29:39,01:30:43,04:41:31,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
15,Jorry Ycong,42,MPRO,PHL,00:28:21,02:29:23,01:39:34,04:41:34,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
4,Ruben Ramajo Farre,1108,M35-39,ESP,00:34:13,02:20:34,01:41:18,04:41:55,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
1,Kuok Yuen Teh,287,M30-34,MYS,00:34:42,02:31:23,01:30:25,04:42:44,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
1,Jonathan Pagaura,131,M18-24,PHL,00:30:47,02:27:02,01:42:19,04:44:15,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
5,Jaray Jearnai,1195,M35-39,THA,00:30:17,02:26:23,01:43:22,04:45:25,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
1,Joland Olmilla,1157,M25-29,PHL,00:35:17,02:30:01,01:36:25,04:46:52,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
6,Chun Kit Tsang,426,M35-39,HKG,00:34:07,02:28:42,01:38:26,04:46:56,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
2,Romain Raimbault,218,M30-34,FRA,00:35:55,02:21:05,01:44:31,04:47:10,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
2,Mervin Rencel Santiago,1164,M25-29,PHL,00:34:52,02:29:22,01:38:53,04:47:46,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
3,Kristiane Glendale Lim,331,M30-34,PHL,00:33:53,02:29:42,01:40:36,04:48:53,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
1,Erika Tanno,1393,F30-34,JPN,00:27:39,02:42:19,01:34:10,04:49:14,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
7,Mitchell Board,428,M35-39,AUS,00:30:45,02:29:08,01:44:38,04:49:52,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
4,Brian Borling,262,M30-34,PHL,00:36:52,02:24:11,01:43:50,04:49:53,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
-,Team Boracay Multi Sports,3399,RELAY-M,PHL,00:32:48,02:22:56,01:49:41,04:49:57,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
8,Thomas Blaha,396,M35-39,AUT,00:30:13,02:41:01,01:33:19,04:50:11,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
16,Raymond Torio,46,MPRO,PHL,00:32:58,02:24:38,01:48:40,04:50:40,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
17,Leonard Rondina,47,MPRO,PHL,00:32:25,02:23:43,01:49:39,04:50:59,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
5,Lukas Skrzypiec,1109,M30-34,POL,00:35:46,02:28:52,01:39:37,04:51:02,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
3,John Dedeus Alcala,156,M25-29,PHL,00:34:36,02:33:03,01:39:19,04:51:38,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
1,Trent Standen,616,M40-44,AUS,00:33:07,02:29:43,01:43:24,04:51:44,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
2,Matthew Westrup,117,M18-24,PHL,00:34:41,02:29:46,01:42:48,04:52:53,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
-,Team Forza,3601,RELAY-M,PHL,00:26:47,02:34:44,01:47:05,04:53:08,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
3,Timmy Lau,127,M18-24,CHN,00:34:08,02:26:46,01:46:53,04:54:36,Ironman 70.3 Philippines,08/11/2019,"Cebu, Philippines
"
