Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Alistair Brownlee,3,MPRO,GBR,00:22:35,01:58:50,01:09:34,03:35:29,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
2,Sven Riederer,4,MPRO,CHE,00:22:44,02:02:53,01:12:11,03:42:05,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
3,Ruedi Wild,1,MPRO,CHE,00:24:17,02:03:30,01:10:11,03:42:41,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
4,Maurice Clavel,5,MPRO,DEU,00:22:42,02:03:05,01:13:43,03:43:37,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
5,Nicholas Kastelein,9,MPRO,AUS,00:22:41,02:05:12,01:12:10,03:44:19,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
6,Ilia Prasolov,36,MPRO,RUS,00:24:01,02:03:55,01:13:09,03:45:35,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
7,Jesper Svensson,44,MPRO,SWE,00:22:37,02:03:00,01:15:46,03:45:41,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
1,Team Russian Bears,2162,RELAY,RUS,00:25:38,02:10:10,01:05:47,03:45:55,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
8,Ronnie Schildknecht,6,MPRO,CHE,00:25:18,02:02:25,01:14:56,03:47:08,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
9,Bertrand Billard,15,MPRO,FRA,00:24:23,02:03:24,01:14:45,03:47:10,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
10,Kevin Maurel,23,MPRO,FRA,00:23:29,02:04:28,01:15:47,03:47:53,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
2,Team Gdrfa,2136,RELAY,ARE,00:26:51,02:04:35,01:10:59,03:47:56,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
11,Johann Ackermann,19,MPRO,DEU,00:22:33,02:03:13,01:18:36,03:48:44,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
12,Eric Watson,45,MPRO,BHR,00:22:35,02:05:14,01:17:31,03:50:04,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
13,Filipe Azevedo,41,MPRO,PRT,00:22:48,02:06:34,01:15:47,03:50:12,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
14,David Plese,12,MPRO,SVN,00:25:21,02:04:20,01:16:07,03:50:21,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
3,Team Bdf 1,2199,RELAY,BHR,00:27:07,02:04:39,01:13:33,03:50:42,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
15,Pedro Gomes,25,MPRO,PRT,00:24:09,02:05:23,01:16:46,03:50:48,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
4,Team Bdf 2,2200,RELAY,BHR,00:29:13,02:04:11,01:13:15,03:51:30,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
16,Niclas Bock,38,MPRO,DEU,00:25:18,02:02:43,01:18:57,03:51:42,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
17,William Clarke,7,MPRO,GBR,00:24:03,02:05:33,01:19:18,03:53:39,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
5,Team Bahrain National Gaurd,2106,RELAY,BHR,00:28:05,02:08:15,01:14:54,03:56:12,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
1,Anne Haug,62,FPRO,DEU,00:25:49,02:15:45,01:14:11,04:00:25,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
6,Team Abu Dhabi Police,2206,RELAY,ARE,00:30:56,02:04:45,01:18:49,04:00:27,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
1,Olivier Godart,139,M40-44,LUX,00:27:58,02:09:05,01:18:27,04:01:06,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
18,Seppe Odeyn,34,MPRO,BEL,00:30:32,02:10:15,01:15:28,04:01:08,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
1,Rafael Wyss,252,M35-39,CHE,00:28:35,02:07:46,01:18:45,04:01:38,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
2,Koen Lintermans,128,M35-39,BEL,00:29:19,02:08:06,01:18:01,04:01:40,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
19,Guillaume Doree,43,MPRO,FRA,00:25:16,02:12:47,01:19:04,04:01:50,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
20,Emilio Aguayo Munoz,35,MPRO,ESP,00:24:15,02:13:45,01:19:31,04:02:35,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
21,Vinicius Canhedo,33,MPRO,BRA,00:25:12,02:09:00,01:25:02,04:04:14,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
22,Kim Harju,37,MPRO,FIN,00:25:11,02:04:27,01:29:54,04:04:21,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
1,Michiel De Wilde,768,M25-29,NLD,00:28:13,02:07:37,01:23:07,04:04:49,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
23,Kacpe Adam,31,MPRO,POL,00:25:16,02:11:54,01:23:03,04:05:05,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
2,Sarah Lewis,68,FPRO,GBR,00:26:10,02:15:25,01:18:42,04:05:19,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
1,Dr. Philipp Ellert,911,M30-34,DEU,00:28:12,02:09:40,01:22:47,04:06:35,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
3,Mohamed Belal,377,M35-39,EGY,00:31:35,02:08:53,01:19:56,04:06:51,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
4,Timothy Cosulich,127,M35-39,ITA,00:26:54,02:15:08,01:19:24,04:07:18,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
3,Holly Lawrence,70,FPRO,GBR,00:23:54,02:14:00,01:25:02,04:07:36,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
2,Paul Cowling,215,M30-34,GBR,00:26:18,02:11:37,01:23:03,04:07:57,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
3,Ben Terry,1048,M30-34,GBR,00:25:43,02:10:52,01:25:44,04:08:27,Ironman 70.3 Dubai,02/02/2018,"Dubai, United Arab Emirates"
