Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Michael Weiss,3,MPRO,AUT,00:22:24,04:14:20,02:49:11,07:30:23,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
2,Matt Hanson,5,MPRO,USA,00:22:18,04:28:46,02:45:07,07:39:46,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
3,Mario De Elias,18,MPRO,ARG,00:22:15,04:28:44,02:47:25,07:42:22,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
4,Jesper Svensson,12,MPRO,SWE,00:19:09,04:32:04,02:51:49,07:46:39,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
5,Lukas Kramer,28,MPRO,DEU,00:22:02,04:30:20,02:51:43,07:48:09,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
6,Stefan Schumacher,31,MPRO,DEU,00:26:04,04:17:12,02:58:37,07:48:40,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
7,Andrej Vistica,11,MPRO,HRV,00:22:27,04:38:05,02:50:43,07:55:53,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
8,Pedro Jose Andujar,21,MPRO,ESP,00:22:26,04:28:37,03:05:48,08:01:11,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
9,Felipe Manente,27,MPRO,BRA,00:22:16,04:47:13,02:52:46,08:08:17,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
10,Matt Chrabot,1,MPRO,USA,00:19:05,04:34:25,03:15:22,08:13:01,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
11,Felipe Van De Wyngard,20,MPRO,CHL,00:19:17,04:36:34,03:16:33,08:16:46,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
1,Sarah Crowley,43,FPRO,AUS,00:22:23,04:51:10,03:01:53,08:20:16,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
12,Andy Potts,2,MPRO,USA,00:19:20,04:30:10,03:27:27,08:21:10,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
13,Ivan Risti,16,MPRO,ITA,00:19:42,04:57:02,03:02:01,08:22:30,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
2,Susie Cheetham,48,FPRO,GBR,00:23:17,04:56:01,03:00:02,08:23:40,Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina"
