Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Domenico Passuello,5,MPRO,ITA,00:26:47,02:05:15,01:18:33,03:54:03,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
2,Dougal Allan,6,MPRO,NZL,00:27:32,02:04:29,01:20:25,03:55:41,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
3,Daniil Sapunov,8,MPRO,UKR,00:24:41,02:11:38,01:19:23,03:59:12,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
4,Luke Bell,2,MPRO,AUS,00:24:45,02:11:35,01:21:40,04:01:20,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
5,Justin Metzler,4,MPRO,USA,00:24:34,02:11:49,01:23:27,04:02:55,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
6,Guy Crawford,9,MPRO,AUS,00:24:42,02:10:09,01:24:48,04:02:56,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
7,David Dellow,7,MPRO,AUS,00:24:41,02:17:25,01:24:28,04:10:42,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
8,Brad Williams,3,MPRO,GBR,00:27:17,02:12:47,01:32:32,04:16:13,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
1,Sarah Piampiano,21,FPRO,USA,00:29:31,02:16:57,01:27:20,04:18:15,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
1,Jan Sibbersen,309,M40-44,DEU,00:23:31,02:18:36,01:35:04,04:21:14,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
1,Ricardo Urbina,73,M35-39,USA,00:33:43,02:19:01,01:32:17,04:28:21,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
1,Kyle Mooney,195,M30-34,AUS,00:28:00,02:24:13,01:33:51,04:30:39,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
2,Kelsey Withrow,26,FPRO,USA,00:26:18,02:23:36,01:37:01,04:30:57,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
2,Qi Dang,124,M35-39,CHN,00:27:22,02:26:42,01:32:50,04:31:50,Ironman 70.3 Qujing,08/27/2017,"Qujing, China"
