Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Daniela Ryf,10,FPRO,CHE,00:26:25,02:20:21,01:22:06,04:11:59,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
2,Emma Pallant,8,FPRO,GBR,00:27:53,02:28:00,01:19:51,04:18:35,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
3,Laura Philipp,3,FPRO,DEU,00:29:47,02:25:46,01:21:17,04:19:40,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
4,Sarah True,34,FPRO,USA,00:25:38,02:30:16,01:22:46,04:21:40,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
5,Helle Frederiksen,19,FPRO,DNK,00:26:23,02:29:07,01:23:41,04:22:11,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
6,Annabel Luxford,2,FPRO,AUS,00:26:34,02:28:53,01:25:38,04:24:03,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
7,Heather Wurtele,9,FPRO,CAN,00:27:52,02:27:33,01:27:00,04:25:38,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
8,Jeanni Seymour,4,FPRO,ZAF,00:27:40,02:28:21,01:27:43,04:26:30,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
9,Haley Chura,14,FPRO,USA,00:25:35,02:31:55,01:26:20,04:27:00,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
10,Melissa Hauschildt,6,FPRO,AUS,00:30:22,02:28:22,01:25:32,04:27:36,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
11,Kirsty Jahn,48,FPRO,CAN,00:29:49,02:30:58,01:26:01,04:30:39,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
12,Lisa Huetthaler,21,FPRO,AUT,00:29:42,02:25:45,01:32:13,04:30:51,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
13,Alicia Kaye,15,FPRO,USA,00:26:29,02:29:15,01:32:15,04:31:14,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
14,Natalie Seymour,22,FPRO,GBR,00:29:39,02:32:02,01:28:28,04:33:29,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
15,Lesley Smith,12,FPRO,USA,00:28:49,02:39:26,01:23:19,04:35:08,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
16,Stephanie Roy,26,FPRO,CAN,00:29:46,02:39:38,01:22:58,04:35:49,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
17,Maria Czesnik,41,FPRO,POL,00:27:45,02:34:08,01:30:57,04:36:01,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
18,Kimberley Morrison,24,FPRO,GBR,00:29:07,02:27:36,01:36:29,04:36:27,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
19,Astrid Stienen,51,FPRO,DEU,00:31:07,02:36:43,01:26:01,04:37:21,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
20,Judith Corachan,27,FPRO,ESP,00:27:39,02:37:54,01:29:26,04:38:16,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
21,Jen Annett,50,FPRO,CAN,00:32:01,02:30:14,01:34:29,04:39:55,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
22,Jennifer Spieldenner,17,FPRO,USA,00:26:22,02:39:31,01:30:53,04:39:57,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
23,Agnieszka Jerzyk,29,FPRO,NOR,00:27:54,02:37:53,01:32:06,04:41:00,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
1,Simone Dailey,1530,F25-29,GBR,00:30:15,02:36:15,01:30:30,04:42:17,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
24,Luiza Cravo de Azevedo,53,FPRO,BRA,00:31:59,02:40:23,01:27:06,04:42:59,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
25,Sue Huse,23,FPRO,CAN,00:35:00,02:39:17,01:26:19,04:43:59,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
2,Laurence Delisle,1535,F25-29,USA,00:27:13,02:37:48,01:37:14,04:47:31,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
26,Romina Palacio Balena,45,FPRO,ARG,00:29:05,02:45:40,01:29:55,04:48:13,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
27,Ewa Komander,56,FPRO,POL,00:31:18,02:36:57,01:37:06,04:48:34,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
1,Katrine Amtkjaer Nielsen,986,F35-39,DNK,00:35:07,02:39:57,01:27:54,04:48:59,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
28,Lauren Brandon,18,FPRO,USA,00:25:23,02:36:26,01:45:07,04:50:30,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
29,Amanda Wendorff,55,FPRO,USA,00:31:56,02:40:53,01:34:25,04:50:34,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
1,Leanne Fanoy,1702,F18-24,ARE,00:33:20,02:42:17,01:29:33,04:50:51,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
2,Molly Smith,1199,F35-39,USA,00:35:36,02:38:58,01:33:10,04:52:28,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
3,Sabrina Stadelmann,1652,F25-29,CHE,00:32:00,02:44:30,01:32:31,04:53:50,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
4,Stephanie Knast,1586,F25-29,USA,00:33:09,02:41:05,01:34:29,04:53:51,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
1,Beni Gras-Thompson,576,F45-49,USA,00:32:24,02:42:41,01:33:16,04:53:53,Ironman 70.3 WC Chattanooga Women,09/09/2017,"Chattanooga, Tennessee, USA"
