Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Rodolphe Von Berg,4,M PRO,USA,00:23:33,02:05:48,01:11:58,03:44:11,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
2,Antony Costes,10,M PRO,FRA,00:23:56,02:05:34,01:13:04,03:45:25,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
3,Pieter Heemeryck,9,M PRO,BEL,00:23:38,02:05:52,01:14:38,03:46:54,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
4,Yvan Jarrige,41,M PRO,FRA,00:23:36,02:08:43,01:13:48,03:49:06,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
5,Arnaud Guilloux,7,M PRO,FRA,00:23:59,02:08:12,01:14:08,03:49:27,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
6,David McNamee,5,M PRO,GBR,00:23:38,02:08:40,01:14:31,03:50:05,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
7,Antoine Mechin,13,M PRO,FRA,00:24:47,02:10:34,01:12:04,03:50:33,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
8,Sybren Baelde,16,M PRO,BEL,00:24:20,02:10:46,01:12:45,03:51:20,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
9,Frederik VAN Lierde,1,M PRO,BEL,00:23:50,02:08:14,01:16:16,03:51:32,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
10,Kenneth Vandendriessche,31,M PRO,BEL,00:26:38,02:08:36,01:13:42,03:52:30,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
11,Romain Guillaume,8,M PRO,FRA,00:23:50,02:08:24,01:18:26,03:54:11,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
12,Kevin Rundstadler,11,M PRO,FRA,00:24:00,02:11:08,01:16:10,03:54:56,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
13,Clément Mignon,25,M PRO,FRA,00:23:53,02:16:15,01:11:25,03:55:33,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
1,David Menanteau,1626,MRELAY,FRA,00:25:26,02:14:22,01:13:57,03:56:16,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
14,Colin Norris,26,M PRO,GBR,00:24:45,02:16:15,01:13:13,03:57:52,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
1,Manuel Amand,294,M 18,FRA,00:26:40,02:13:23,01:14:46,03:58:28,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
15,Franck Guyon,40,M PRO,FRA,00:27:02,02:15:43,01:12:16,03:58:43,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
2,Alban Gazeau,1621,MRELAY,FRA,00:25:02,02:14:47,01:16:38,03:58:55,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
16,Antoine Perche,28,M PRO,FRA,00:26:36,02:14:11,01:13:54,03:59:09,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
17,Bart Aernouts,37,M PRO,BEL,00:26:35,02:08:32,01:20:41,03:59:23,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
18,Guillaume Doree,19,M PRO,FRA,00:23:56,02:17:12,01:16:02,04:00:53,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
19,Vincent VAN DE Walle,30,M PRO,BEL,00:26:31,02:14:24,01:16:31,04:01:13,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,09/06/2020,"VendÄ—e, France"
