Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Sam Appleton,3,MPRO,AUS,00:24:02,02:02:16,01:16:21,03:47:14,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
2,Andrew Starykowicz,1,MPRO,USA,00:24:35,02:02:17,01:19:52,03:51:43,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
3,Joe Gambles,2,MPRO,AUS,00:24:32,02:07:51,01:17:11,03:54:25,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
4,Stephen Kilshaw,4,MPRO,CAN,00:25:49,02:10:48,01:17:00,03:58:26,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
5,Benjamin Deal,9,MPRO,USA,00:25:17,02:12:37,01:17:06,04:00:10,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
6,Elliot Bach,6,MPRO,USA,00:25:34,02:11:32,01:18:54,04:00:21,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
7,Nicolas Johnstone-Dougall,17,MPRO,ZAF,00:24:05,02:09:52,01:22:33,04:01:24,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
8,Ernest Mantell,21,MPRO,USA,00:25:51,02:12:21,01:20:30,04:03:35,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
9,Garrick Loewen,20,MPRO,CAN,00:25:02,02:11:44,01:22:37,04:04:25,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
10,Lukas Siska,29,MPRO,SVK,00:25:26,02:21:22,01:17:39,04:09:04,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
11,Antoine Francoeur,13,MPRO,CAN,00:25:50,02:15:55,01:25:12,04:12:25,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
12,Daniel Rodriguez,27,MPRO,ESP,00:27:36,02:19:47,01:21:37,04:13:46,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
1,Mark Saroni,203,M30-34,USA,00:27:39,02:17:33,01:26:49,04:17:36,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
1,Jacalyn Hering,50,FPRO,USA,00:27:04,02:24:47,01:21:24,04:18:28,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
13,Pablo Gomez,14,MPRO,COL,00:28:49,02:14:43,01:29:16,04:18:38,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
14,Timothy Winslow,31,MPRO,USA,00:25:27,02:20:08,01:28:02,04:20:14,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
2,Jeanni Seymour,40,FPRO,ZAF,00:26:02,02:25:07,01:24:16,04:20:29,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
3,Alissa Doehla,47,FPRO,USA,00:28:24,02:21:52,01:25:30,04:21:03,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
15,Ross McGraw,22,MPRO,USA,00:33:11,02:18:41,01:25:27,04:22:22,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
16,Weston Christensen,8,MPRO,USA,00:25:25,02:31:36,01:20:12,04:22:24,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
17,Tim Russell,28,MPRO,USA,00:29:13,02:17:42,01:30:26,04:23:14,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
18,Matthew Perches,26,MPRO,USA,00:25:20,02:22:46,01:30:43,04:23:56,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
1,Bruno Martins,207,M35-39,PRT,00:30:02,02:18:41,01:30:59,04:26:10,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
1,John Brenteson,1443,M25-29,USA,00:28:40,02:22:31,01:29:21,04:26:25,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
4,Melanie McQuaid,59,FPRO,CAN,00:28:31,02:22:26,01:32:06,04:28:51,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
2,Sean Hale,283,M35-39,USA,00:28:42,02:19:26,01:36:18,04:30:54,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
2,Stephen Molloy,202,M30-34,USA,00:29:04,02:24:55,01:29:33,04:31:32,Ironman 70.3 Waco,10/27/2019,"Waco, Texas, USA"
