Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Gustav Iden,54,MPRO,NOR,00:23:43,01:41:01,00:58:15,03:05:05,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
2,Matthew Hanson,13,MPRO,USA,00:24:39,01:41:44,00:57:21,03:05:56,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
3,George Goodwin,31,MPRO,GBR,00:24:46,01:39:34,00:59:29,03:06:09,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
4,Lionel Sanders,3,MPRO,CAN,00:25:53,01:38:30,00:59:47,03:06:16,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
5,Rodolphe Von Berg,5,MPRO,USA,00:23:40,01:39:31,01:01:27,03:06:40,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
6,Sam Appleton,14,MPRO,AUS,00:23:13,01:39:58,01:01:35,03:06:58,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
7,Henri Schoeman,56,MPRO,ZAF,00:22:24,01:42:14,01:00:29,03:07:15,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
8,Vincent Luis,58,MPRO,FRA,00:22:27,01:41:53,01:01:04,03:07:20,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
9,Sam Long,32,MPRO,USA,00:25:54,01:38:23,01:01:04,03:07:27,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
10,Andreas Dreitz,10,MPRO,DEU,00:24:41,01:39:18,01:01:23,03:07:45,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
11,Javier Gomez,7,MPRO,ESP,00:22:29,01:44:31,00:58:49,03:07:50,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
12,Thomas Davis,42,MPRO,USA,00:22:34,01:40:58,01:02:18,03:07:57,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
13,Florian Angert,17,MPRO,DEU,00:22:41,01:40:40,01:02:43,03:08:14,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
14,Magnus Elbaek Ditlev,53,MPRO,DNK,00:24:53,01:38:11,01:03:28,03:08:56,Challenge Daytona,12/06/2020,"Daytona Beach, Florida, USA"
