Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Eric Lagerstrom,6,MPRO,USA,00:22:22,02:04:41,01:15:57,03:47:24,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
2,Ben Hoffman,1,MPRO,USA,00:23:45,02:04:43,01:16:01,03:49:04,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
3,Justin Metzler,9,MPRO,USA,00:23:35,02:08:19,01:15:10,03:51:45,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
4,Kyle Buckingham,3,MPRO,ZAF,00:23:38,02:08:18,01:17:04,03:53:37,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
5,James Cunnama,4,MPRO,ZAF,00:24:14,02:07:39,01:19:10,03:55:22,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
6,Andrew Talansky,18,MPRO,USA,00:25:10,02:02:13,01:26:21,03:58:14,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
7,Elliot Bach,11,MPRO,USA,00:23:43,02:08:08,01:22:05,03:58:32,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
8,Sean Harrington,29,MPRO,USA,00:25:08,02:14:48,01:14:05,03:58:35,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
9,Steven Zawaski,21,MPRO,USA,00:25:11,02:10:18,01:18:54,03:58:56,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
10,Kevin Portmann,14,MPRO,FRA,00:25:58,02:09:16,01:19:52,03:59:37,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
11,Matt Franklin,22,MPRO,NZL,00:23:00,02:08:45,01:23:32,04:00:13,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
1,Kieran Storch,1962,M18-24,AUS,00:25:23,02:10:46,01:19:38,04:00:38,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
12,Eduardo Lass,34,MPRO,BRA,00:23:03,02:15:08,01:17:56,04:01:06,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
13,Dylan Gillespie,33,MPRO,USA,00:23:12,02:08:16,01:25:11,04:01:27,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
14,Tripp Hipple,23,MPRO,USA,00:25:12,02:07:55,01:24:16,04:02:05,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
15,Sven Strijk,27,MPRO,NLD,00:24:15,02:07:58,01:27:20,04:04:07,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
16,Curtiss Feltner,31,MPRO,USA,00:25:44,02:13:48,01:22:06,04:07:04,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
1,Matthew Ison,130,M30-34,USA,00:27:16,02:16:31,01:18:22,04:07:12,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
17,Taylor Reid,5,MPRO,CAN,00:24:12,02:10:48,01:28:50,04:08:21,Ironman 70.3 Santa Cruz,09/09/2018,"Santa Cruz, California, USA"
