Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jan Frodeno,100,MPRO,DEU,00:20:19,01:21:46,00:53:48,02:37:57,Challenge Miami,03/12/2021,"Miami, Florida, USA"
2,Lionel Sanders,101,MPRO,CAN,00:22:26,01:22:40,00:53:23,02:40:27,Challenge Miami,03/12/2021,"Miami, Florida, USA"
3,Ben Kanute,115,MPRO,USA,00:20:16,01:24:22,00:55:11,02:41:35,Challenge Miami,03/12/2021,"Miami, Florida, USA"
4,Chris Leiferman,107,MPRO,USA,00:22:11,01:22:45,00:54:51,02:41:46,Challenge Miami,03/12/2021,"Miami, Florida, USA"
5,Rudy Von Berg,103,MPRO,USA,00:20:47,01:23:07,00:56:27,02:42:10,Challenge Miami,03/12/2021,"Miami, Florida, USA"
6,Magnus Elbaek Ditlev,114,MPRO,DNK,00:21:38,01:20:22,00:58:32,02:42:47,Challenge Miami,03/12/2021,"Miami, Florida, USA"
7,Tyler Butterfield,106,MPRO,BER,00:21:47,01:23:43,00:54:49,02:42:54,Challenge Miami,03/12/2021,"Miami, Florida, USA"
8,Nicholas Kastelein,127,MPRO,AUS,00:20:18,01:26:24,00:54:32,02:43:22,Challenge Miami,03/12/2021,"Miami, Florida, USA"
9,Andrew Starykowicz,112,MPRO,USA,00:21:24,01:20:27,00:59:31,02:43:34,Challenge Miami,03/12/2021,"Miami, Florida, USA"
10,Andreas Dreitz,109,MPRO,DEU,00:22:04,01:22:34,00:57:12,02:44:10,Challenge Miami,03/12/2021,"Miami, Florida, USA"
11,Tim O'Donnell,105,MPRO,USA,00:20:20,01:25:16,00:57:28,02:44:57,Challenge Miami,03/12/2021,"Miami, Florida, USA"
12,Pablo Dapena Gonzalez,110,MPRO,ESP,00:20:44,01:26:43,00:56:19,02:45:46,Challenge Miami,03/12/2021,"Miami, Florida, USA"
13,Matthew Hanson,104,MPRO,USA,00:21:55,01:29:22,00:52:58,02:46:07,Challenge Miami,03/12/2021,"Miami, Florida, USA"
14,Taylor Reid,116,MPRO,CAN,00:21:57,01:25:54,00:56:20,02:46:20,Challenge Miami,03/12/2021,"Miami, Florida, USA"
15,Bart Aernouts,111,MPRO,BEL,00:24:12,01:24:10,00:56:54,02:47:25,Challenge Miami,03/12/2021,"Miami, Florida, USA"
16,Nicholas Chase,129,MPRO,USA,00:22:06,01:24:37,00:58:38,02:47:29,Challenge Miami,03/12/2021,"Miami, Florida, USA"
17,Ben Hoffman,102,MPRO,USA,00:21:31,01:26:26,00:57:52,02:48:06,Challenge Miami,03/12/2021,"Miami, Florida, USA"
18,Santiago Ascenso,118,MPRO,BRA,00:22:24,01:26:56,00:57:08,02:48:20,Challenge Miami,03/12/2021,"Miami, Florida, USA"
19,Matt McWilliams,146,MPRO,USA,00:24:19,01:25:44,00:56:29,02:48:59,Challenge Miami,03/12/2021,"Miami, Florida, USA"
20,Robbie Deckard,123,MPRO,USA,00:23:12,01:28:04,00:56:08,02:49:32,Challenge Miami,03/12/2021,"Miami, Florida, USA"
21,Eric Lagerstrom,117,MPRO,USA,00:20:48,01:27:52,00:59:33,02:50:18,Challenge Miami,03/12/2021,"Miami, Florida, USA"
22,Alexander Schilling,125,MPRO,DEU,00:21:51,01:27:41,00:59:14,02:50:38,Challenge Miami,03/12/2021,"Miami, Florida, USA"
23,Andrew Keily,133,MPRO,USA,00:20:50,01:29:01,00:59:26,02:51:40,Challenge Miami,03/12/2021,"Miami, Florida, USA"
