Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jan Frodeno,4,MPRO,GER,00:47:30,04:16:03,02:42:43,07:51:12,Ironman Hawaii,10/12/2019,"Kona, Hawaii, USA"
2,Tim O'Donnell,6,MPRO,USA,00:47:37,04:18:12,02:49:43,07:59:39,Ironman Hawaii,10/12/2019,"Kona, Hawaii, USA"
3,Sebastian Kienle,5,MPRO,GER,00:52:16,04:15:05,02:49:57,08:02:04,Ironman Hawaii,10/12/2019,"Kona, Hawaii, USA"
4,Ben Hoffman,14,MPRO,USA,00:51:00,04:24:01,02:43:07,08:02:51,Ironman Hawaii,10/12/2019,"Kona, Hawaii, USA"
5,Cameron Wurf,11,MPRO,AUS,00:52:24,04:14:44,02:55:03,08:06:40,Ironman Hawaii,10/12/2019,"Kona, Hawaii, USA"
6,Joe Skipper,9,MPRO,GBR,00:52:27,04:16:18,02:53:30,08:07:45,Ironman Hawaii,10/12/2019,"Kona, Hawaii, USA"
7,Braden Currie,7,MPRO,NZL,00:47:41,04:30:29,02:46:25,08:08:48,Ironman Hawaii,10/12/2019,"Kona, Hawaii, USA"
8,Philipp Koutny,47,MPRO,SUI,00:52:19,04:15:15,02:57:51,08:10:29,Ironman Hawaii,10/12/2019,"Kona, Hawaii, USA"
9,Bart Aernouts,2,MPRO,BEL,00:57:02,04:19:48,02:51:07,08:12:26,Ironman Hawaii,10/12/2019,"Kona, Hawaii, USA"
10,Chris Leiferman,28,MPRO,USA,00:52:29,04:24:21,02:52:18,08:13:36,Ironman Hawaii,10/12/2019,"Kona, Hawaii, USA"
11,Jan Van Berkel,34,MPRO,SUI,00:50:53,04:32:09,02:47:35,08:15:18,Ironman Hawaii,10/12/2019,"Kona, Hawaii, USA"
12,Tim Reed,16,MPRO,AUS,00:51:02,04:25:53,02:55:50,08:17:36,Ironman Hawaii,10/12/2019,"Kona, Hawaii, USA"
13,Michael Weiss,12,MPRO,AUT,00:57:04,04:21:38,02:54:34,08:18:02,Ironman Hawaii,10/12/2019,"Kona, Hawaii, USA"
