Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jan Frodeno,2,MPRO,DEU,00:22:19,02:08:27,01:10:31,03:45:05,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
2,Lionel Sanders,1,MPRO,CAN,00:24:35,02:08:48,01:11:45,03:48:57,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
3,Tim Reed,3,MPRO,AUS,00:23:42,02:13:02,01:12:09,03:53:07,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
4,Eric Lagerstrom,26,MPRO,USA,00:22:23,02:14:26,01:13:08,03:54:11,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
5,Rodolphe Von Berg,12,MPRO,USA,00:23:45,02:12:12,01:17:07,03:56:48,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
6,Jesse Thomas,8,MPRO,USA,00:25:24,02:13:03,01:15:00,03:58:00,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
7,Alex Libin,28,MPRO,USA,00:25:07,02:15:48,01:14:58,04:00:39,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
8,Kennett Peterson,36,MPRO,USA,00:25:22,02:12:52,01:19:08,04:01:52,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
9,Scott Defilippis,20,MPRO,USA,00:25:31,02:18:29,01:14:45,04:03:34,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
10,Nicholas Granet,24,MPRO,FRA,00:24:40,02:18:39,01:15:20,04:04:07,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
11,Sam Long,29,MPRO,USA,00:25:37,02:15:20,01:19:10,04:04:16,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
12,Robbie Wade,42,MPRO,IRL,00:25:21,02:15:53,01:20:27,04:06:37,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
13,Matt Franklin,22,MPRO,NZL,00:23:36,02:14:00,01:25:07,04:07:07,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
14,Jesse Vondracek,41,MPRO,USA,00:25:22,02:18:28,01:20:02,04:08:27,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
15,Kevin Portmann,39,MPRO,FRA,00:25:32,02:15:13,01:24:48,04:10:07,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
1,Anne Haug,55,FPRO,DEU,00:26:31,02:24:14,01:16:24,04:12:03,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
16,Sean Daugherty,19,MPRO,USA,00:25:09,02:26:04,01:17:50,04:13:57,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
2,Holly Lawrence,51,FPRO,GBR,00:24:02,02:25:28,01:22:35,04:16:26,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
17,Jim Lubinski,30,MPRO,USA,00:28:49,02:22:35,01:20:57,04:17:10,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
1,Antonio Villardaga,915,M25-29,MEX,00:24:37,02:26:23,01:21:27,04:18:44,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
1,Pat Redner,954,M30-34,USA,00:27:07,02:27:06,01:19:10,04:18:48,Ironman 70.3 Oceanside,04/07/2018,"Oceanside, California"
