Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Patrick Lange,1,MPRO,DEU,00:22:31,02:07:32,01:15:54,03:49:09,Ironman 70.3 Vietnam,05/12/2019,"Panama City Beach, Florida, USA"
2,Tim Van Berkel,5,MPRO,AUS,00:22:40,02:07:19,01:17:43,03:50:57,Ironman 70.3 Vietnam,05/12/2019,"Panama City Beach, Florida, USA"
3,Timothy Reed,4,MPRO,AUS,00:22:49,02:04:51,01:21:22,03:52:13,Ironman 70.3 Vietnam,05/12/2019,"Panama City Beach, Florida, USA"
4,Mike Phillips,9,MPRO,NZL,00:22:41,02:07:22,01:19:56,03:53:13,Ironman 70.3 Vietnam,05/12/2019,"Panama City Beach, Florida, USA"
5,Craig Alexander,3,MPRO,AUS,00:22:42,02:07:25,01:21:10,03:54:21,Ironman 70.3 Vietnam,05/12/2019,"Panama City Beach, Florida, USA"
6,Tim Don,2,MPRO,GBR,00:22:31,02:07:31,01:21:28,03:54:56,Ironman 70.3 Vietnam,05/12/2019,"Panama City Beach, Florida, USA"
7,Mauricio Mendez,6,MPRO,MEX,00:22:28,02:12:55,01:17:10,03:55:58,Ironman 70.3 Vietnam,05/12/2019,"Panama City Beach, Florida, USA"
8,Daniile Sapunov,19,MPRO,UKR,00:22:54,02:07:23,01:23:08,03:56:56,Ironman 70.3 Vietnam,05/12/2019,"Panama City Beach, Florida, USA"
9,Romain Guiillaume,15,MPRO,FRA,00:22:41,02:07:26,01:26:28,04:00:14,Ironman 70.3 Vietnam,05/12/2019,"Panama City Beach, Florida, USA"
10,Alexander Polizzi,18,MPRO,AUS,00:22:26,02:07:26,01:28:46,04:02:13,Ironman 70.3 Vietnam,05/12/2019,"Panama City Beach, Florida, USA"
11,Dylan McNeice,12,MPRO,NZL,00:21:44,02:08:13,01:30:40,04:03:50,Ironman 70.3 Vietnam,05/12/2019,"Panama City Beach, Florida, USA"
