Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Lionel Sanders,1,MPRO,CAN,00:26:36,02:00:48,01:12:30,03:43:36,Ironman 70.3 Indian Wells - La Quinta,12/08/2019,"Indian Wells, California, USA"
2,Eric Lagerstrom,6,MPRO,USA,00:23:39,02:05:17,01:14:58,03:47:45,Ironman 70.3 Indian Wells - La Quinta,12/08/2019,"Indian Wells, California, USA"
3,Miki Taagholt,9,MPRO,DNK,00:23:40,02:07:31,01:16:25,03:51:35,Ironman 70.3 Indian Wells - La Quinta,12/08/2019,"Indian Wells, California, USA"
4,Benjamin Deal,31,MPRO,USA,00:26:03,02:09:22,01:12:39,03:52:08,Ironman 70.3 Indian Wells - La Quinta,12/08/2019,"Indian Wells, California, USA"
5,Kevin Collington,4,MPRO,USA,00:24:45,02:11:09,01:13:21,03:53:05,Ironman 70.3 Indian Wells - La Quinta,12/08/2019,"Indian Wells, California, USA"
6,Jason West,13,MPRO,USA,00:23:49,02:12:05,01:14:22,03:54:04,Ironman 70.3 Indian Wells - La Quinta,12/08/2019,"Indian Wells, California, USA"
7,Alexander Schilling,25,MPRO,DEU,00:25:04,02:11:00,01:16:33,03:56:08,Ironman 70.3 Indian Wells - La Quinta,12/08/2019,"Indian Wells, California, USA"
8,Curtis Feltner,36,MPRO,USA,00:26:49,02:09:08,01:17:31,03:57:20,Ironman 70.3 Indian Wells - La Quinta,12/08/2019,"Indian Wells, California, USA"
9,Andrew Yoder,11,MPRO,USA,00:25:54,02:05:54,01:22:16,03:58:08,Ironman 70.3 Indian Wells - La Quinta,12/08/2019,"Indian Wells, California, USA"
10,Nicolas Johnstone-Dougall,41,MPRO,ZAF,00:24:42,02:05:55,01:23:27,03:58:37,Ironman 70.3 Indian Wells - La Quinta,12/08/2019,"Indian Wells, California, USA"
11,Andrew Keily,38,MPRO,USA,00:24:54,02:10:11,01:20:09,04:00:25,Ironman 70.3 Indian Wells - La Quinta,12/08/2019,"Indian Wells, California, USA"
