Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Patrick Lange,2,MPRO,DEU,00:47:05,04:17:06,02:36:46,07:45:22,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
2,Jan Van Berkel,11,MPRO,CHE,00:49:46,04:18:19,02:39:04,07:50:57,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
3,Daniel Baekkegard,10,MPRO,DNK,00:46:33,04:17:52,02:44:34,07:52:58,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
4,Denis Chevrot,19,MPRO,FRA,00:46:50,04:27:07,02:36:02,07:54:26,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
5,Bart Aernouts,16,MPRO,BEL,00:50:16,04:17:39,02:43:21,07:55:13,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
6,Joe Skipper,7,MPRO,GBR,00:52:19,04:15:56,02:45:37,07:57:39,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
7,Florian Angert,4,MPRO,DEU,00:47:04,04:17:08,02:50:16,07:58:16,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
8,Andy Potts,21,MPRO,USA,00:47:08,04:21:00,02:46:12,07:59:54,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
9,Samuel Huerzeler,27,MPRO,CHE,00:49:55,04:18:22,02:50:33,08:02:52,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
10,Mauricio Mendez Cruz,34,MPRO,USA,00:47:10,04:30:46,02:42:35,08:04:08,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
11,David Plese,52,MPRO,SVN,00:50:14,04:27:28,02:44:51,08:07:03,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
12,Chris Leiferman,60,MPRO,USA,00:50:09,04:27:48,02:46:55,08:08:25,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
13,Sam Long,8,MPRO,USA,00:52:20,04:16:20,02:56:26,08:08:28,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
14,Kristian Hogenhaug,6,MPRO,DNK,00:49:42,04:18:18,03:01:29,08:13:30,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
15,Matt Russell,14,MPRO,USA,00:53:36,04:25:13,02:53:19,08:16:12,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
16,Adam Bowden,26,MPRO,GBR,00:47:08,04:36:24,02:50:32,08:18:08,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
17,Mathias Lyngso Petersen,18,MPRO,DNK,00:47:11,04:35:23,02:53:00,08:19:34,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
18,Andreas Jung,49,MPRO,USA,00:49:53,04:27:49,02:58:14,08:19:51,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
19,Kristian Hindkjaer,58,MPRO,DNK,00:49:47,04:29:58,02:58:16,08:22:43,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
20,Marcus Herbst,59,MPRO,DEU,00:50:07,04:24:32,03:04:10,08:22:57,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
21,Tyler Butterfield,71,MPRO,USA,00:50:03,04:49:07,02:40:47,08:24:55,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
22,Tripp Hipple,45,MPRO,USA,00:53:39,04:26:57,02:59:51,08:25:31,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
23,Raul Tejada,44,MPRO,GTM,00:52:21,04:36:46,02:57:52,08:31:45,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
24,Adam Feigh,61,MPRO,USA,00:52:24,04:33:50,03:02:53,08:34:02,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
25,Mattia Ceccarelli,43,MPRO,ITA,00:47:03,04:27:23,03:16:47,08:35:37,Ironman Tulsa,05/23/2021,"Tulsa, Oklahoma, USA"
