Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Daniel Bakkegard,64,MPRO,DNK,00:23:20,01:55:44,01:10:01,03:33:02,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
2,Filipe Azevedo,5,MPRO,PRT,00:24:13,01:54:40,01:10:58,03:34:03,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
3,Rasmus Svenningsson,30,MPRO,SWE,00:24:55,01:54:02,01:09:19,03:34:03,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
4,Andrea Salvisberg,52,MPRO,CHE,00:23:20,01:55:38,01:11:05,03:34:04,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
5,Antony Costes,9,MPRO,FRA,00:24:12,01:54:37,01:11:51,03:34:35,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
6,Jesper Svensson,19,MPRO,SWE,00:23:28,01:54:27,01:13:05,03:34:58,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
7,Jan Stratmann,45,MPRO,DEU,00:23:22,01:55:35,01:12:23,03:35:10,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
8,Ilia Prasolov,53,MPRO,RUS,00:23:21,01:55:56,01:11:36,03:35:24,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
9,Maurice Clavel,3,MPRO,DEU,00:23:29,01:55:38,01:12:51,03:35:39,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
10,Paul Ruttman,16,MPRO,AUT,00:27:23,01:52:56,01:13:11,03:38:27,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
11,Philipp Bahlke,49,MPRO,DEU,00:25:17,01:53:40,01:16:06,03:39:11,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
12,Emmanuel Lejeune,22,MPRO,BEL,00:24:53,01:59:37,01:10:47,03:39:26,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
13,Joao Ferreira,58,MPRO,PRT,00:25:06,01:56:24,01:13:54,03:39:36,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
14,Andi Boecherer,32,MPRO,DEU,00:24:57,01:53:55,01:16:35,03:39:42,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
15,Jan Van Berkel,21,MPRO,CHE,00:25:00,01:53:54,01:17:37,03:40:50,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
16,Thor Bendix Madsen,25,MPRO,DNK,00:25:17,01:57:18,01:13:41,03:41:34,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
17,Ruben Zepuntke,10,MPRO,DEU,00:24:58,01:53:11,01:19:39,03:41:45,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
18,Tristan Olij,18,MPRO,NLD,00:25:06,01:56:25,01:15:41,03:41:59,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
19,David Plese,34,MPRO,SVN,00:26:11,01:57:56,01:13:41,03:42:05,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
20,Mathias Lyngso Petersen,6,MPRO,DNK,00:24:10,02:00:14,01:13:04,03:42:20,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
21,Franck Guyon,33,MPRO,FRA,00:28:06,02:01:46,01:08:58,03:42:52,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
22,Jaroslav Kovacic,20,MPRO,SVN,00:24:12,02:00:01,01:14:42,03:43:14,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
23,Ivan Rana,12,MPRO,ESP,00:24:17,01:59:58,01:16:05,03:44:21,Ironman 70.3 Dubai,03/12/2021,"Dubai, United Arab Emirates"
