Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Lionel Sanders,2,MPRO,CAN,00:26:36,02:01:44,01:11:52,03:43:01,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
2,Ben Kanute,44,MPRO,USA,00:24:59,02:03:46,01:12:06,03:43:21,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
3,Sam Long,6,MPRO,USA,00:28:26,01:59:57,01:12:31,03:43:26,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
4,Matthew Hanson,1,MPRO,USA,00:25:51,02:06:03,01:10:10,03:44:30,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
5,Andreas Dreitz,3,MPRO,DEU,00:26:46,02:01:40,01:15:15,03:46:30,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
6,Bart Aernouts,59,MPRO,BEL,00:27:59,02:03:17,01:12:48,03:47:03,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
7,Marcus Herbst,41,MPRO,DEU,00:26:41,02:01:48,01:16:11,03:47:23,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
8,Frederik Henes,35,MPRO,DEU,00:25:47,02:06:02,01:13:33,03:48:21,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
9,Justin Metzler,50,MPRO,USA,00:25:15,02:06:46,01:15:00,03:49:43,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
10,Michael Weiss,19,MPRO,AUT,00:28:26,02:02:53,01:17:47,03:51:54,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
11,Nicholas Chase,21,MPRO,USA,00:26:38,02:05:02,01:17:53,03:52:15,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
12,Jackson Laundry,8,MPRO,CAN,00:25:43,02:14:42,01:11:53,03:54:53,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
13,Patrick Brady,20,MPRO,USA,00:28:30,02:10:19,01:13:16,03:55:07,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
14,Travis Wood,11,MPRO,USA,00:28:31,02:07:47,01:17:04,03:56:09,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
15,Antonio Villardaga,17,MPRO,MEX,00:25:21,02:11:09,01:17:07,03:56:42,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
16,Kevin Portmann,46,MPRO,FRA,00:29:25,02:09:26,01:16:17,03:58:13,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
17,Andrew Keily,45,MPRO,USA,00:25:14,02:11:54,01:17:55,03:58:17,Ironman 70.3 Texas,04/11/2021,"Galveston, Texas, USA"
