Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jose Belarmino Souza Filho,148,M 35-39,BRA,00:54:32,04:58:10,03:14:51,09:12:09,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
2,Felipe Dayrell Silvestre,254,M 35-39,BRA,00:54:34,04:58:31,03:18:52,09:18:39,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
3,Gustavo Fleruy Soares,156,M 35-39,BRA,01:02:06,04:52:04,03:21:17,09:20:19,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
4,Brasilio Vicente Castro Neto,150,M 35-39,BRA,00:54:41,05:00:27,03:20:13,09:20:26,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
1,Lucas Antonetti,605,M 40-44,ARG,00:58:58,05:11:49,03:08:06,09:22:46,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
5,Francisco Sartore,184,M 35-39,BRA,01:03:45,04:58:31,03:14:22,09:23:44,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
6,Marcelino De Miranda,152,M 35-39,BRA,00:57:54,05:01:16,03:21:27,09:26:05,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
7,Luiz Flavio Inacio Da Silva,212,M 35-39,BRA,01:05:10,04:51:06,03:27:19,09:30:34,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
1,Marcio Verissimo,54,M 30-34,BRA,01:01:48,04:40:25,03:49:52,09:36:08,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
1,Hugo Amaral,5,M 25-29,BRA,00:56:34,05:09:16,03:29:47,09:39:57,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
2,Andre Kina,457,M 40-44,BRA,00:58:54,05:06:07,03:29:12,09:40:03,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
8,Michell Rosa De Jesus,230,M 35-39,BRA,01:08:29,05:12:12,03:16:26,09:42:50,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
2,Rafael Arias,12,M 25-29,BRA,00:58:45,05:06:29,03:36:03,09:46:09,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
9,Igor Costa Santos,177,M 35-39,BRA,01:00:29,05:15:24,03:27:09,09:48:46,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
10,Pedro Jorge Marzá,159,M 35-39,ESP,01:09:54,05:10:27,03:27:17,09:53:17,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
2,Rodolfo Oliveira,72,M 30-34,BRA,01:05:05,05:14:49,03:29:57,09:54:46,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
11,Marcelo Brandao Jr Francisco,176,M 35-39,BRA,01:11:28,05:07:48,03:32:35,09:56:55,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
3,Thiago Nascimento,107,M 30-34,BRA,01:06:23,05:28:01,03:17:53,09:57:58,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
3,Fabiano Paes,410,M 40-44,BRA,01:16:11,05:05:27,03:32:41,09:58:40,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
12,José Ángel Penas Tallón,165,M 35-39,ESP,01:06:08,05:21:22,03:24:14,09:58:52,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
13,Patrick Simon,171,M 35-39,BRA,01:04:33,05:11:13,03:35:58,09:59:11,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
4,Rangel Rodrigues,385,M 40-44,BRA,01:09:08,05:15:16,03:29:55,10:00:43,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
5,Markus Jetzer,634,M 40-44,CHE,01:10:04,05:02:44,03:36:38,10:00:50,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
4,Thiago Mapurunga Benevides,71,M 30-34,BRA,01:08:12,05:18:49,03:26:41,10:01:05,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
14,Bruno Cesar Franca,157,M 35-39,BRA,01:02:30,05:19:15,03:35:11,10:02:38,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
15,Rodrigo Figueiredo Cantal,607,M 35-39,BRA,01:09:56,05:19:50,03:28:35,10:04:47,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
1,Luiz Renato Topan,549,M 50-54,BRA,00:54:29,05:17:16,03:49:58,10:05:35,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
1,Pedro Luiz Cerize,527,M 45-49,BRA,01:08:52,05:13:16,03:37:34,10:06:22,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
16,Marcos Faria,606,M 35-39,BRA,00:54:38,05:06:54,03:58:06,10:06:36,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
17,Paulo Sergio Barros,247,M 35-39,BRA,01:23:46,05:25:05,03:14:08,10:07:51,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
5,Leandro Gustavo Goulart Zani,119,M 30-34,BRA,01:01:23,05:17:27,03:41:11,10:07:53,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
18,Jonathan Da Silva,227,M 35-39,BRA,01:18:02,05:04:29,03:39:41,10:08:29,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
3,João Martins Galvão,625,M 25-29,BRA,00:58:30,05:25:14,03:40:52,10:08:38,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
6,Marcelo Henrique E Silva Lopes,438,M 40-44,BRA,01:12:22,05:26:14,03:24:13,10:08:57,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
2,Federico Schneeberger,611,M 45-49,ARG,01:06:54,05:16:00,03:41:02,10:09:54,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
19,Rafael Duarte Diniz,153,M 35-39,BRA,01:14:00,05:13:39,03:36:12,10:10:02,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
20,Luiz Navas Júnior,191,M 35-39,BRA,01:01:07,05:08:05,03:56:53,10:11:09,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
21,Leandro Caitano,149,M 35-39,BRA,01:04:57,05:18:09,03:41:31,10:11:17,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
6,Gil Castello Branco,77,M 30-34,BRA,01:06:51,05:01:23,03:59:49,10:12:32,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
22,Frederico Carvalho Zacharias,194,M 35-39,BRA,01:03:49,05:04:58,03:54:41,10:12:33,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
23,Tarik Arcoverde Ribeiro Costa,260,M 35-39,BRA,00:54:35,05:11:07,03:59:10,10:12:45,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
4,Derik Afornali,10,M 25-29,BRA,01:04:37,05:18:33,03:43:15,10:13:45,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
24,Rafael Pinho,259,M 35-39,BRA,01:09:50,05:05:15,03:53:51,10:14:08,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
25,Felipe Manalich,174,M 35-39,CHN,01:02:28,05:16:50,03:50:26,10:15:53,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
5,Henrique Nicco,24,M 25-29,BRA,01:14:02,05:02:38,03:53:50,10:17:53,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
7,Jose Otavio Ribeiro Cruz Filho,435,M 40-44,BRA,01:13:41,05:13:48,03:43:46,10:18:21,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
8,Rafael Pina,460,M 40-44,BRA,01:10:07,05:20:33,03:42:23,10:19:35,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
26,Hakanay Queiroz,224,M 35-39,BRA,01:05:30,05:15:20,03:52:59,10:19:36,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
9,Euclides Castelo,429,M 40-44,BRA,01:00:25,05:40:01,03:32:14,10:20:03,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
10,Celio Manfredini,377,M 40-44,BRA,01:09:48,05:20:46,03:44:20,10:20:24,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
27,Joao Marcello Novaes Do Baptista,226,M 35-39,BRA,01:01:57,05:29:09,03:44:39,10:21:33,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
28,Helio Gonçalves Ribeiro Filho,225,M 35-39,BRA,01:04:20,05:22:25,03:51:27,10:22:44,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
11,Matos Felipe,458,M 40-44,BRA,01:04:21,05:25:17,03:48:03,10:24:13,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
3,Eugenio Furioso,507,M 45-49,BRA,01:07:08,05:18:02,03:53:15,10:24:15,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
29,Joao Victor De Oliveira Terceiro,185,M 35-39,BRA,01:16:00,05:00:49,04:00:31,10:24:28,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
30,Leandro Moreira,198,M 35-39,BRA,01:01:16,05:22:40,03:52:51,10:25:05,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
31,Felipe Mateus Sampaio Da Silva,220,M 35-39,BRA,01:00:33,05:42:11,03:35:03,10:25:25,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
7,Thiago Gabriel Alvim,66,M 30-34,BRA,01:05:09,05:00:14,04:14:21,10:26:35,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
1,Icaro De Campos Cavalcanti,351,M 18-24,BRA,01:00:43,05:37:28,03:40:42,10:28:49,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
2,Alberto Manoel Lopes Dias,614,M 50-54,BRA,01:10:46,05:36:42,03:35:41,10:29:56,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
12,Luciano Gomes,401,M 40-44,BRA,01:20:03,05:20:01,03:45:09,10:31:03,Ironman Fortaleza,11/20/2016,"Fortaleza, Brazil"
